lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-4.25,-62.75,lowprec_pft,lowprec,pft,2.425693,27.948355,2.425693,0.32871536,0.32606415,0.33838165
-4.25,-62.25,lowprec_pft,lowprec,pft,2.455162,28.053387,2.455162,0.32724194,0.3272895,0.33897987
-4.25,-61.75,lowprec_pft,lowprec,pft,2.902707,27.081202,2.902707,0.30486465,0.31594736,0.36945866
-4.25,-57.75,lowprec_pft,lowprec,pft,2.913134,27.394014,2.913134,0.30434332,0.31959682,0.36737324
-4.25,-57.25,lowprec_pft,lowprec,pft,2.927894,27.836823,2.927894,0.3036053,0.32476295,0.36442123
-4.25,-56.75,lowprec_pft,lowprec,pft,2.923166,27.694977,2.923166,0.3038417,0.32310806,0.36536682
-4.25,-56.25,lowprec_pft,lowprec,pft,2.913547,27.406399,2.913547,0.30432268,0.31974133,0.3672907
-4.25,-53.25,lowprec_pft,lowprec,pft,2.413592,28.20379,2.413592,0.3293204,0.32904423,0.335648
-4.25,-52.75,lowprec_pft,lowprec,pft,2.409188,28.186834,2.409188,0.3295406,0.3288464,0.3355691
-4.25,-52.25,lowprec_pft,lowprec,pft,2.409138,28.171755,2.409138,0.32954308,0.32867046,0.33569225
-4.25,-51.75,lowprec_pft,lowprec,pft,2.4103,28.18972,2.4103,0.32948498,0.3288801,0.33560066
-3.75,-73.75,lowprec_pft,lowprec,pft,2.405918,28.040663,2.405918,0.32970406,0.32714108,0.33662373
-3.75,-73.25,lowprec_pft,lowprec,pft,2.406992,28.023153,2.406992,0.3296504,0.3269368,0.33682327
-3.75,-72.75,lowprec_pft,lowprec,pft,2.416259,27.974934,2.416259,0.329187,0.3263742,0.3376885
-3.75,-72.25,lowprec_pft,lowprec,pft,2.425059,27.947075,2.425059,0.32874706,0.3260492,0.33836063
-3.75,-71.75,lowprec_pft,lowprec,pft,2.420776,27.945435,2.420776,0.3289612,0.3260301,0.3381602
-3.75,-71.25,lowprec_pft,lowprec,pft,2.408051,28.025482,2.408051,0.32959747,0.32696396,0.33685688
