"","ny","nx","lat","lon","clima","forest","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood"
"91",168,231,-5.75,-64.25,"nclim",1,3075515400,5.002515,3.426577,1.817472,75.57842,4.993103,0.324435,16.947567,1.455281,1.652749,13.839539
"92",168,232,-5.75,-63.75,"nclim",1,3075515400,5.076236,3.369445,1.875467,77.4229,4.833704,0.335597,17.491148,1.500627,1.706147,14.284374
"93",168,233,-5.75,-63.25,"nclim",1,3075515400,5.15334,3.422876,1.845125,86.40923,5.094855,0.330037,17.36333,1.474707,1.675344,14.21328
"94",168,234,-5.75,-62.75,"nclim",1,3075515400,5.269535,3.497782,1.977133,83.00085,5.196412,0.338414,18.283907,1.586187,1.80486,14.89286
"95",168,235,-5.75,-62.25,"nclim",1,3075515400,5.248357,3.580338,2.038563,77.65427,5.386214,0.336471,18.69365,1.645508,1.873539,15.174603
"96",168,236,-5.75,-61.75,"nclim",0,3075515400,6.35872,3.937808,2.420911,65.51601,5.390474,0.375218,20.549152,1.917586,2.185332,16.446236
"97",168,237,-5.75,-61.25,"nclim",0,3075515400,6.371624,3.974214,2.39741,64.39247,5.261156,0.370286,20.541056,1.896169,2.157069,16.48782
"98",168,238,-5.75,-60.75,"nclim",0,3075515400,6.185227,3.972918,2.212309,67.33556,5.345446,0.351029,19.658043,1.744505,1.978359,15.935178
"99",168,239,-5.75,-60.25,"nclim",0,3075515400,6.112846,3.92932,2.183527,64.17416,5.233475,0.349917,19.4896,1.719542,1.948806,15.821251
"100",168,240,-5.75,-59.75,"nclim",1,3075515400,5.779806,3.794387,1.985418,67.373055,5.146219,0.335479,18.107443,1.561828,1.766093,14.779523
"101",168,241,-5.75,-59.25,"nclim",1,3075515400,5.570904,3.679738,1.891165,69.174706,4.976822,0.330881,17.377605,1.487957,1.681244,14.208406
"102",168,242,-5.75,-58.75,"nclim",1,3075515400,5.355135,3.530319,1.824817,70.62832,4.715727,0.331289,16.993423,1.437424,1.623869,13.93213
"103",168,243,-5.75,-58.25,"nclim",1,3075515400,5.194155,3.430378,1.763779,73.70472,4.568867,0.329433,16.550419,1.392794,1.573122,13.584502
"104",168,244,-5.75,-57.75,"nclim",1,3075515400,5.144958,3.428456,1.716502,79.465965,4.684027,0.323699,15.97328,1.357357,1.534696,13.081226
"105",168,245,-5.75,-57.25,"nclim",1,3075515400,3.462807,2.640113,1.276373,82.42133,4.826253,0.25451,13.437347,1.059412,1.239379,11.138557
