ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
168,251,-5.75,-54.25,PFT_nclim,4.78734,1.713861,15.956511,1.327525,1.517685,13.1113,14.438825
168,252,-5.75,-53.75,PFT_nclim,4.429822,1.653011,15.062691,1.260867,1.441978,12.359845,13.620712
169,217,-5.25,-71.25,PFT_nclim,4.031598,1.501874,13.937495,1.242642,1.409517,11.285336,12.527978
169,218,-5.25,-70.75,PFT_nclim,4.146851,1.477851,14.009828,1.203861,1.363928,11.44204,12.645901
169,219,-5.25,-70.25,PFT_nclim,4.270483,1.438748,13.633705,1.165707,1.350918,11.117082,12.282789
169,220,-5.25,-69.75,PFT_nclim,4.208815,1.411456,13.423758,1.140709,1.322255,10.960794,12.101503
169,221,-5.25,-69.25,PFT_nclim,4.248588,1.409264,13.503346,1.128141,1.306351,11.068854,12.196995
169,222,-5.25,-68.75,PFT_nclim,4.180717,1.375706,13.123502,1.101498,1.274572,10.747433,11.848931
169,223,-5.25,-68.25,PFT_nclim,4.025469,1.315145,12.313663,1.069671,1.235981,10.008011,11.077682
169,224,-5.25,-67.75,PFT_nclim,3.849721,1.318803,12.521617,1.080061,1.223237,10.21832,11.298381
169,225,-5.25,-67.25,PFT_nclim,4.055992,1.455996,14.006145,1.195862,1.386943,11.42334,12.619202
169,226,-5.25,-66.75,PFT_nclim,4.229259,1.641162,15.49321,1.352169,1.536812,12.604229,13.956398
169,227,-5.25,-66.25,PFT_nclim,4.059088,1.575027,14.690598,1.31133,1.489716,11.889551,13.200881
169,228,-5.25,-65.75,PFT_nclim,4.143062,1.628988,14.866402,1.358303,1.544027,11.964071,13.322374
169,229,-5.25,-65.25,PFT_nclim,4.515857,1.864072,16.735193,1.543018,1.758072,13.434105,14.977123
169,230,-5.25,-64.75,PFT_nclim,4.751361,1.827067,16.736755,1.483507,1.686492,13.566756,15.050263
169,231,-5.25,-64.25,PFT_nclim,5.017002,1.818746,16.941298,1.458944,1.657158,13.825195,15.284139
169,232,-5.25,-63.75,PFT_nclim,5.316295,1.858192,17.399214,1.468495,1.665137,14.265582,15.734077
169,233,-5.25,-63.25,PFT_nclim,5.437049,1.886859,17.555063,1.48335,1.678519,14.393194,15.876544
169,234,-5.25,-62.75,PFT_nclim,5.673805,1.98572,18.238256,1.565411,1.773299,14.899548,16.464959
169,235,-5.25,-62.25,PFT_nclim,6.137131,2.276985,19.969828,1.795648,2.039572,16.13461,17.930258
169,236,-5.25,-61.75,PFT_nclim,6.344917,2.384189,20.496416,1.885063,2.144345,16.467007,18.35207
169,237,-5.25,-61.25,PFT_nclim,5.580369,2.262026,19.748589,1.839602,2.104239,15.804749,17.644351
169,238,-5.25,-60.75,PFT_nclim,4.691336,2.034534,18.670458,1.709193,1.960556,15.00071,16.709903
169,239,-5.25,-60.25,PFT_nclim,5.631527,2.127197,19.231245,1.727072,1.974134,15.530037,17.257109
169,240,-5.25,-59.75,PFT_nclim,6.131526,2.190816,19.604904,1.724375,1.953392,15.927135,17.65151
169,241,-5.25,-59.25,PFT_nclim,5.761024,1.978003,18.066736,1.554674,1.757597,14.754465,16.309139
169,242,-5.25,-58.75,PFT_nclim,5.457082,1.852118,17.120056,1.457718,1.646921,14.015416,15.473134
169,243,-5.25,-58.25,PFT_nclim,5.271626,1.784019,16.6205,1.40696,1.589483,13.624057,15.031017
169,244,-5.25,-57.75,PFT_nclim,5.089052,1.700555,15.896482,1.345966,1.520638,13.029881,14.375847
169,245,-5.25,-57.25,PFT_nclim,5.074216,1.701956,15.995346,1.352709,1.53664,13.105996,14.458705
169,246,-5.25,-56.75,PFT_nclim,4.997609,1.652008,15.404842,1.329287,1.548669,12.526886,13.856173
169,247,-5.25,-56.25,PFT_nclim,5.281944,1.763778,16.373512,1.399209,1.598863,13.375439,14.774648
169,248,-5.25,-55.75,PFT_nclim,5.32448,1.771489,16.371197,1.397076,1.59704,13.37708,14.774156
