nx,ny,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
214,199,9.75,-72.75,PLS_nclim,2.6244104385376,1.0713249206543,12.0742816925049,0.640779101848602,0.667122405767441,10.7663736343384,11.407152736187
242,177,-1.25,-58.75,PLS_nclim,2.01371178627014,0.882121205329895,9.9796443939209,0.640515893697739,0.667638599872589,8.67148475646973,9.31200065016747
245,194,7.25,-57.25,PLS_nclim,2.48299725055695,1.03078299760818,11.7266544342041,0.640034502744675,0.626082301139832,10.4605390548706,11.1005735576153
221,204,12.25,-69.25,PLS_nclim,2.56658220291138,1.06218391656876,11.9489992141724,0.639928996562958,0.659276288747787,10.649799823761,11.289728820324
251,172,-3.75,-54.25,PLS_nclim,2.60803971290588,1.07375470399857,12.1890520095825,0.639909499883652,0.655925792455673,10.8932139396667,11.5331234395504
256,182,1.25,-51.75,PLS_nclim,2.60927174091339,1.04027650356293,11.8432222366333,0.639790904521942,0.621631997823715,10.5818006515503,11.2215915560722
241,188,4.25,-59.25,PLS_nclim,2.71267499923706,1.07905260324478,12.2050756454468,0.63973690867424,0.666545099020004,10.8987907409668,11.538527649641
241,182,1.25,-59.25,PLS_nclim,2.67677819728851,1.06268680095673,12.017880153656,0.639418298006058,0.659559398889542,10.7189066886902,11.3583249866963
253,192,6.25,-53.25,PLS_nclim,2.51503312587738,1.03425630331039,11.8082547187805,0.639100790023804,0.624068295955658,10.5450840950012,11.184184885025
255,175,-2.25,-52.25,PLS_nclim,2.41447730064392,1.04566700458527,11.9996667861938,0.63877260684967,0.605609601736069,10.7552865982056,11.3940592050553
256,187,3.75,-51.75,PLS_nclim,2.56081819534302,1.02797778844833,11.6630226135254,0.638452899456024,0.604115897417069,10.4204523086548,11.0589052081108
253,193,6.75,-53.25,PLS_nclim,2.49621047973633,1.03068488836288,11.7702856063843,0.638345795869827,0.623642688989639,10.5082974433899,11.1466432392597
241,185,2.75,-59.25,PLS_nclim,2.71326332092285,1.07533390522003,12.1590043067932,0.638017606735229,0.66231769323349,10.8586716651917,11.4966892719269
237,177,-1.25,-61.25,PLS_nclim,1.99121271371841,0.85862540602684,9.73944664001465,0.637865102291107,0.646992200613022,8.45459160804748,9.09245671033859
256,191,5.75,-51.75,PLS_nclim,2.52470443248749,1.0353492975235,11.8168714523315,0.637625002861023,0.626903492212296,10.5523386955261,11.1899636983871
259,183,1.75,-50.25,PLS_nclim,2.64011070728302,1.05631439685822,12.0423006057739,0.637531793117523,0.630303996801376,10.7744683265686,11.4120001196861
258,175,-2.25,-50.75,PLS_nclim,2.34438662528992,1.02416350841522,11.6069700241089,0.637472897768021,0.581893998384476,10.3876058578491,11.0250787556171
252,180,0.25,-53.75,PLS_nclim,2.48369328975677,1.02903290987015,11.7664154052734,0.637285000085831,0.632331794500351,10.4968029022217,11.1340879023075
243,177,-1.25,-58.25,PLS_nclim,2.00856639146805,0.878679901361465,9.93320569992065,0.637270307540894,0.664432996511459,8.63150320053101,9.26877350807191
245,193,6.75,-57.25,PLS_nclim,2.56559083461761,1.03583079576492,11.745752620697,0.636872398853302,0.635711896419525,10.4731680870056,11.1100404858589
223,195,7.75,-68.25,PLS_nclim,2.55644466876984,1.03261560201645,11.6636372566223,0.636505496501923,0.632679998874664,10.3944483757019,11.0309538722038
215,200,10.25,-72.25,PLS_nclim,2.58591802120209,1.05986211299896,11.9371397972107,0.636277896165848,0.660783302783966,10.6400795936584,11.2763574898243
228,210,15.25,-65.75,PLS_nclim,2.60664410591126,1.05483759641647,11.8114129066467,0.636146801710129,0.657862496376038,10.5174006462097,11.1535474479198
255,174,-2.75,-52.25,PLS_nclim,2.43059809207916,1.04252967834473,11.9479503631592,0.635923689603806,0.609382498264313,10.702645778656,11.3385694682598
237,197,8.75,-61.25,PLS_nclim,2.53846960067749,1.03166619539261,11.7050518035889,0.635847496986389,0.63065630197525,10.4385476112366,11.074395108223
260,181,0.75,-49.75,PLS_nclim,2.53651151657105,1.03382070064545,11.7848667144775,0.635279709100723,0.604075002670288,10.5455115318298,11.1807912409305
257,182,1.25,-51.25,PLS_nclim,2.6243577003479,1.04704909324646,11.9241974830627,0.635274797677994,0.626908695697784,10.6620120048523,11.2972868025303
250,174,-2.75,-54.75,PLS_nclim,2.37957503795624,1.04508628845215,11.8642827033997,0.635259705781937,0.635833299160004,10.5931878089905,11.2284475147724
233,165,-7.25,-63.25,PLS_nclim,1.87978239059448,0.85795961022377,9.52259187698364,0.63520839214325,0.717899596691132,8.16948394775391,8.80469233989716
230,195,7.75,-64.75,PLS_nclim,2.57642202377319,1.03306671380997,11.6553109169006,0.634891605377197,0.634925603866577,10.3854948043823,11.0203864097595
251,180,0.25,-54.25,PLS_nclim,2.43119819164276,1.01883580684662,11.6165881156921,0.634799998998642,0.639412498474121,10.3423746109009,10.9771746098995
238,176,-1.75,-60.75,PLS_nclim,1.94927778244019,0.854246997833252,9.68802537918091,0.634613907337189,0.653981006145477,8.39943056106567,9.03404446840286
243,182,1.25,-58.25,PLS_nclim,2.67103052139282,1.05878320932388,11.9958331108093,0.634601294994354,0.649330806732178,10.7118991851807,11.3465004801751
253,174,-2.75,-53.25,PLS_nclim,2.50604255199432,1.05507998466492,12.053059387207,0.63436478972435,0.629887700080872,10.7888094902039,11.4231742799283
252,179,-0.25,-53.75,PLS_nclim,2.37675557136536,1.02268290519714,11.6950446128845,0.634267908334732,0.628697896003723,10.4320731163025,11.0663410246372
256,193,6.75,-51.75,PLS_nclim,2.4921924829483,1.02715460062027,11.6972529411316,0.634266704320908,0.628636693954468,10.4343481063843,11.0686148107052
206,196,8.25,-76.75,PLS_nclim,2.44158599376678,1.06574120521545,11.6835837364197,0.633976805210114,0.726787394285202,10.3228152275085,10.9567920327186
233,193,6.75,-63.25,PLS_nclim,2.5800833940506,1.03388521671295,11.6537037849426,0.63396070599556,0.63353950381279,10.3862071990967,11.0201679050923
254,174,-2.75,-52.75,PLS_nclim,2.45051376819611,1.04316600561142,11.9690264701843,0.633169597387314,0.614248502254486,10.7216061592102,11.3547757565975
256,176,-1.75,-51.75,PLS_nclim,2.3118433713913,1.01567109823227,11.5820576667786,0.633091199398041,0.57895000576973,10.3700137138367,11.0031049132347
252,173,-3.25,-53.75,PLS_nclim,2.5163177728653,1.05009840726852,11.9497165679932,0.632743096351624,0.632847803831101,10.6841286659241,11.3168717622757
222,204,12.25,-68.75,PLS_nclim,2.51864831447601,1.04005869626999,11.7127640724182,0.632223999500275,0.645099097490311,10.4354377746582,11.0676617741585
236,173,-3.25,-61.75,PLS_nclim,1.87986707687378,0.845098298788071,9.55598573684692,0.632109498977661,0.65675710439682,8.26712183952332,8.89923133850098
246,194,7.25,-56.75,PLS_nclim,2.41553997993469,1.01344518661499,11.5334506034851,0.632105809450149,0.615059399604797,10.2862865447998,10.9183923542499
245,173,-3.25,-57.25,PLS_nclim,2.5648152589798,1.01569441556931,11.3876376152039,0.631927001476288,0.693450593948364,10.0622614860535,10.6941884875298
243,176,-1.75,-58.25,PLS_nclim,1.98217861652374,0.866861605644226,9.79519233703613,0.631777703762054,0.660509496927261,8.50290503501892,9.13468273878097
236,196,8.25,-61.75,PLS_nclim,2.51132490634918,1.01956560611725,11.5658396720886,0.631452798843384,0.622662001848221,10.3117226600647,10.9431754589081
259,180,0.25,-50.25,PLS_nclim,2.44794607162476,1.01519591808319,11.5811592102051,0.631315404176712,0.586920899152756,10.3629204750061,10.9942358791828
227,195,7.75,-66.25,PLS_nclim,2.56182863712311,1.02477760314941,11.5805523872375,0.63110060095787,0.624542301893234,10.3249088287354,10.9560094296933
253,180,0.25,-53.25,PLS_nclim,2.4191921710968,1.02000119686127,11.6906398773193,0.63100820183754,0.614977991580963,10.4446604728699,11.0756686747074
232,194,7.25,-63.75,PLS_nclim,2.56271321773529,1.02739491462708,11.6076956748962,0.630906105041504,0.631410092115402,10.3453790664673,10.9762851715088
253,179,-0.25,-53.25,PLS_nclim,2.37164340019226,1.01964679956436,11.6926699638367,0.63045648932457,0.614031702280045,10.4481800079346,11.0786364972592
222,195,7.75,-68.75,PLS_nclim,2.55628437995911,1.02857270240784,11.601327419281,0.630364102125168,0.637214195728302,10.3337491989136,10.9641133010388
250,172,-3.75,-54.75,PLS_nclim,2.5610170841217,1.04848279953003,11.8790921211243,0.630228197574615,0.647360098361969,10.6014984130859,11.2317266106605
231,195,7.75,-64.25,PLS_nclim,2.55408892631531,1.02436381578445,11.5725484848022,0.630202108621597,0.630612403154373,10.3117309570312,10.9419330656528
253,188,4.25,-53.25,PLS_nclim,2.56494967937469,1.0255891919136,11.657732963562,0.629526209831238,0.619227296113968,10.4089821815491,11.0385083913803
252,181,0.75,-53.75,PLS_nclim,2.40871260166168,1.00159828662872,11.4434694290161,0.629491800069809,0.628225201368332,10.1857528686523,10.8152446687221
257,176,-1.75,-51.25,PLS_nclim,2.2959911108017,1.00309491157532,11.4292582511902,0.629340207576752,0.571812391281128,10.2281109809875,10.8574511885643
245,195,7.75,-57.25,PLS_nclim,2.3997739315033,1.0082848906517,11.4610018730164,0.629329711198807,0.612644106149673,10.21902551651,10.8483552277088
259,175,-2.25,-50.25,PLS_nclim,2.31764228343964,1.0083046913147,11.3822266578674,0.628784811496735,0.578470695018768,10.1749691963196,10.8037540078163
256,189,4.75,-51.75,PLS_nclim,2.45581572055817,0.998759990930557,11.4038806915283,0.628711307048798,0.587735098600388,10.1874356269836,10.8161469340324
255,176,-1.75,-52.25,PLS_nclim,2.33196001052856,1.01618958711624,11.6280764579773,0.62864950299263,0.586814194917679,10.4126187324524,11.041268235445
256,181,0.75,-51.75,PLS_nclim,2.49465682506561,1.00958640575409,11.5400919914246,0.628590792417526,0.600840198993683,10.31066198349,10.9392527759075
208,200,10.25,-75.75,PLS_nclim,1.9995671749115,0.928283804655075,9.85624570846558,0.628532898426056,0.639558291435242,8.58815011978149,9.21668301820755
246,195,7.75,-56.75,PLS_nclim,2.31549541950226,1.00587880015373,11.4568887710571,0.628468507528305,0.610456001758575,10.2179647445679,10.8464332520962
251,173,-3.25,-54.25,PLS_nclim,2.41515707969666,1.03266501426697,11.7612174034119,0.6280886054039,0.627044904232025,10.5060850143433,11.1341736197472
241,176,-1.75,-59.25,PLS_nclim,1.9145583987236,0.849818503856659,9.586559009552,0.628023093938827,0.65422660112381,8.30431270599365,8.93233579993248
254,178,-0.75,-52.75,PLS_nclim,2.36701717376709,1.01461820602417,11.6249406814575,0.628013598918915,0.60642780661583,10.3904946327209,11.0185082316398
254,176,-1.75,-52.75,PLS_nclim,2.37122888565063,1.02513041496277,11.7356863975525,0.627849894762039,0.609780603647232,10.4980615615845,11.1259114563465
254,179,-0.25,-52.75,PLS_nclim,2.37238829135895,1.01276049017906,11.609706401825,0.627793496847153,0.604927498102188,10.3769833564758,11.004776853323
242,176,-1.75,-58.75,PLS_nclim,1.94443539381027,0.853148502111435,9.63077602386475,0.62772490978241,0.652777802944183,8.35027503967285,8.97799994945526
254,175,-2.25,-52.75,PLS_nclim,2.39898247718811,1.02624489068985,11.760631942749,0.62734580039978,0.607207399606705,10.5260833740234,11.1534291744232
242,182,1.25,-58.75,PLS_nclim,2.6338348865509,1.04015592336655,11.7541402816772,0.626993799209595,0.648811995983124,10.4783336639404,11.10532746315
245,192,6.25,-57.25,PLS_nclim,2.58997850418091,1.03270099163055,11.6594091415405,0.626965993642807,0.64240420460701,10.3900433540344,11.0170093476772
234,194,7.25,-62.75,PLS_nclim,2.53677837848663,1.01962879896164,11.5296873092651,0.626960396766663,0.623840701580048,10.2788807868958,10.9058411836625
253,175,-2.25,-53.25,PLS_nclim,2.38042652606964,1.026979804039,11.7332998275757,0.626750695705414,0.615544301271439,10.4910014152527,11.1177521109581
251,174,-2.75,-54.25,PLS_nclim,2.38608570098877,1.02860441207886,11.7191681861877,0.626447200775146,0.621451300382614,10.4712728500366,11.0977200508117
237,176,-1.75,-61.25,PLS_nclim,1.91353520154953,0.832558196783066,9.41638479232788,0.626410698890686,0.641153609752655,8.14882464408874,8.77523534297943
250,173,-3.25,-54.75,PLS_nclim,2.36538500785828,1.02226637601852,11.6228989601135,0.62637460231781,0.628779995441437,10.3677438735962,10.994118475914
228,195,7.75,-65.75,PLS_nclim,2.52767336368561,1.01250069141388,11.4488014221191,0.626102995872498,0.617639094591141,10.2050620079041,10.8311650037766
226,195,7.75,-66.75,PLS_nclim,2.51106297969818,1.00828740000725,11.4018686294556,0.626000207662582,0.614410102367401,10.1614548683166,10.7874550759792
218,197,8.75,-70.75,PLS_nclim,2.53392069339752,1.02764250040054,11.5947999954224,0.625939810276032,0.638515305519104,10.3303401947021,10.9562800049781
260,179,-0.25,-49.75,PLS_nclim,2.32964868545532,0.993787205219269,11.3280416488647,0.6258504986763,0.576828092336655,10.1253639221191,10.7512144207954
241,183,1.75,-59.25,PLS_nclim,2.63544790744781,1.04080961942673,11.7763209342957,0.625646209716797,0.653109991550446,10.4975681304932,11.12321434021
255,181,0.75,-52.25,PLS_nclim,2.46582491397858,1.00428129434586,11.5043612480164,0.625518500804901,0.605219602584839,10.273623752594,10.8991422533989
229,195,7.75,-65.25,PLS_nclim,2.51159377098084,1.00846511721611,11.3852540016174,0.625499200820923,0.61793400645256,10.1418210029602,10.7673202037811
252,195,7.75,-53.75,PLS_nclim,2.18236980438232,0.97275071144104,11.0856461524963,0.625343590974808,0.590406203269959,9.86989631652832,10.4952399075031
243,175,-2.25,-58.25,PLS_nclim,2.017655813694,0.860028797388077,9.71286087036133,0.625329202413559,0.658904194831848,8.42863240242004,9.0539616048336
251,179,-0.25,-54.25,PLS_nclim,2.28737471103668,0.996564203500748,11.3805143356323,0.625178104639053,0.628652000427246,10.1266830444336,10.7518611490727
253,178,-0.75,-53.25,PLS_nclim,2.30026891231537,1.00262221693993,11.4805764198303,0.625136011838913,0.6104720890522,10.2449706077576,10.8701066195965
252,174,-2.75,-53.75,PLS_nclim,2.40092704296112,1.02503600120544,11.6921342849731,0.625086510181427,0.619281995296478,10.4477661132813,11.0728526234627
244,175,-2.25,-57.75,PLS_nclim,2.53249847888947,0.987990993261337,11.0628800392151,0.625061506032944,0.69349839091301,9.74431982040405,10.369381326437
248,180,0.25,-55.75,PLS_nclim,2.61970641613007,1.0545695066452,11.9497842788696,0.625015091896057,0.648624706268311,10.6761434555054,11.3011585474015
254,177,-1.25,-52.75,PLS_nclim,2.32590658664703,1.00533471107483,11.4964016914368,0.624830603599548,0.604547202587128,10.2670213699341,10.8918519735336
264,182,1.25,-47.75,PLS_nclim,2.33118019104004,1.00027158856392,11.4270871162415,0.624594897031784,0.603292298316956,10.1992026329041,10.8237975299359
