"","ny","nx","lat","lon","clima","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"34",168,233,-5.75,-63.25,"lowprec",3075515400,4.017879,2.99363,1.758497,83.407524,5.12651,0.310086,19.344019,1.419548,1.436007,16.488464,2.409928,28.04905,2.409928,32.95036,32.723892,33.67543,-0.639169680754261,0.13406553272508,-5.1610672426039e-07,8.72791854872323e-07,1.80536972713488e-07,-4.60448693025791e-16
"35",168,234,-5.75,-62.75,"lowprec",3075515400,3.855273,2.922857,1.79306,80.226845,5.227434,0.305452,19.802656,1.473885,1.498275,16.830496,2.414793,28.000532,2.414793,32.92603,32.66729,33.740185,-0.559549512479578,0.177310463923713,-5.74280644304037e-06,-1.13972588977607e-07,1.31896825510645e-06,-3.79564484840675e-16
"36",168,235,-5.75,-62.25,"lowprec",3075515400,0.619484,0.771721,0.350965,66.101494,5.523087,0.175943,9.799432,0.341396,0.398296,9.05974,3,30,3,30,35,35,4.88580310967972,-3.81763245455914,-9.15057013495257e-09,-6.02660203963268e-08,8.37992852539826e-09,4.48301712435333e-15
"37",168,240,-5.75,-59.75,"lowprec",3075515400,1.17636,1.309873,0.672223,65.77804,5.163515,0.197075,11.288261,0.553455,0.599909,10.134896,2.477813,28.233185,2.477813,32.610935,32.938713,33.861416,0.0177121948634845,-0.273238259157216,1.19201227703064e-06,-2.33566100800442e-06,-1.42731049903276e-06,5.11849827504693e-17
"38",168,241,-5.75,-59.25,"lowprec",3075515400,2.773547,2.268454,1.233627,67.026985,4.999188,0.239879,15.107594,0.990069,1.018263,13.099262,2.429332,28.10944,2.429332,32.853336,32.79435,33.722122,-0.455499198259618,0.00853375477665645,-5.07138174811461e-06,7.8510131576448e-07,1.65339722460467e-06,-2.50003880054468e-16
"39",168,242,-5.75,-58.75,"lowprec",3075515400,1.491187,1.499749,0.785445,68.75297,4.734356,0.207405,11.832849,0.639127,0.67741,10.516312,2.460326,28.21552,2.460326,32.698368,32.918106,33.788696,-0.167195951641059,-0.203260231021989,-2.31889555497161e-06,-5.69401428507366e-08,-2.99586301091056e-07,-5.20538289568117e-17
"40",168,243,-5.75,-58.25,"lowprec",3075515400,1.028367,1.294023,0.567362,64.19927,4.660758,0.167288,9.714307,0.513175,0.607978,8.593154,2.927508,27.825237,2.927508,30.362461,32.462776,36.449844,5.22743183388898,-1.06083118781288,1.39176651192674e-06,-5.20760094158135e-07,-2.57218206761722e-07,3.66452321878751e-15
"41",169,217,-5.25,-71.25,"lowprec",3078101000,1.94115,1.812111,0.940014,90.2111,4.699209,0.244619,11.729989,0.781606,0.825008,10.123373,2.449886,27.893806,2.449886,32.75057,32.542774,34.004593,-0.113507355910919,0.203756431654934,3.92886035814263e-07,-8.37926850932869e-07,1.26594769753771e-07,-1.46702189590922e-16
"42",169,218,-5.25,-70.75,"lowprec",3078101000,3.06994,2.466855,1.339905,84.35351,4.388728,0.287646,15.065206,1.117174,1.134598,12.813433,2.412144,27.979416,2.412144,32.93928,32.64265,33.74454,-0.577837874016796,0.209559867015971,-2.75898365931226e-07,4.28102988031531e-07,-9.43527695107874e-07,-4.94459307204592e-16
"43",169,219,-5.25,-70.25,"lowprec",3078101000,3.388644,2.575438,1.411582,84.042015,4.220991,0.301024,15.704353,1.155059,1.166244,13.38305,2.40724,28.037848,2.40724,32.9638,32.710823,33.671326,-0.663117105199821,0.154784174432539,-2.14865729666891e-07,3.04529929190389e-07,1.62115251625683e-07,-5.06178605836576e-16
"44",169,220,-5.25,-69.75,"lowprec",3078101000,3.285396,2.516122,1.383624,86.71433,4.079345,0.300146,15.422662,1.12898,1.139514,13.154168,2.407228,28.048943,2.407228,32.963856,32.723766,33.662025,-0.669096586392557,0.141795799474567,-2.87983699974459e-06,-3.33563918555879e-06,-4.6209187023593e-07,-4.94815325398034e-16
"45",169,221,-5.25,-69.25,"lowprec",3078101000,3.326201,2.501289,1.369661,89.37634,3.984535,0.302855,15.367739,1.110472,1.119413,13.137854,2.406525,28.077156,2.406525,32.967373,32.756683,33.634995,-0.691784417908421,0.110658949918559,-1.93432471982946e-06,-7.90100916858716e-07,4.6793717505423e-07,-4.35970371985204e-16
"46",169,222,-5.25,-68.75,"lowprec",3078101000,3.285664,2.472348,1.336657,91.0759,3.934782,0.30095,14.968478,1.084613,1.093015,12.790851,2.405962,28.072872,2.405962,32.970184,32.751686,33.635746,-0.69577746009576,0.117270206419209,-7.01772472551376e-06,1.24152453706561e-07,1.02131788567647e-06,-4.44962118912059e-16
"47",169,223,-5.25,-68.25,"lowprec",3078101000,2.961,2.361316,1.257357,88.815956,3.940601,0.289355,14.031058,1.038541,1.048814,11.943703,2.407015,28.020851,2.407015,32.964924,32.690994,33.68436,-0.656654679144053,0.175366153413964,-2.67582191622318e-06,2.7759879716871e-06,6.50339486942507e-07,-4.89066611034022e-16
"48",169,224,-5.25,-67.75,"lowprec",3078101000,2.788131,2.29103,1.222893,82.20997,3.950246,0.2817,13.676998,1.022761,1.034854,11.619383,2.408106,27.986544,2.408106,32.959473,32.650967,33.718407,-0.626448221415327,0.212564662779778,1.92481750664608e-06,2.77646481186555e-06,-4.28375082079345e-07,-4.79248007845845e-16
"49",169,225,-5.25,-67.25,"lowprec",3078101000,2.995325,2.371933,1.369661,77.73265,4.12209,0.29474,15.595587,1.145912,1.160521,13.289154,2.410463,28.016495,2.410463,32.94768,32.68591,33.70523,-0.616059270827793,0.170768529754873,-6.89108569129626e-06,2.0629590271326e-06,-2.75606349575686e-07,-4.22304875789592e-16
"50",169,226,-5.25,-66.75,"lowprec",3078101000,3.27026,2.535762,1.546258,79.32482,4.463709,0.304431,17.12441,1.290982,1.309863,14.523565,2.411195,27.972681,2.411195,32.94403,32.634796,33.74541,-0.584829279177929,0.220138388748119,5.85975490481616e-06,-3.18065956017577e-07,6.36778293582399e-07,-4.11862311026247e-16
"51",169,227,-5.25,-66.25,"lowprec",3078101000,3.11326,2.580694,1.461697,89.84565,4.94163,0.282049,16.063087,1.22093,1.241918,13.600239,2.412373,27.934046,2.412373,32.938133,32.58972,33.783497,-0.551368085215035,0.26216823461439,-9.7782415843517e-07,-2.5882935652255e-06,-2.24040245436381e-07,-4.39646670076145e-16
"52",169,228,-5.25,-65.75,"lowprec",3078101000,2.882283,2.523785,1.400815,82.450424,5.236242,0.263235,15.44599,1.164422,1.191948,13.089619,2.419061,27.912659,2.419061,32.9047,32.564766,33.83476,-0.465813164424877,0.268439905898873,5.87515375678749e-06,-3.3186491782411e-07,-1.42448068878248e-06,-4.31642318291389e-16
