,X,nx,ny,lat,lon,clima,gpp,ra,npp,rc,et,wue,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm,PC1,PC2,PC3,PC4,PC5,PC6
2966,1122,232,195,7.75,-63.75,nclim,2.39933271408081,1.51076298952103,0.981013506650925,124.41856918335,4.18762044906616,0.008461000397801,0.35509580373764,11.1082696914673,0.608416903018951,0.602317297458649,9.89753913879395,2.32040026187897,26.33034324646,2.24969947338104,0.32557780444622,0.356219401955605,0.318202704191208,1.22827154252986,0.033272585191817,-0.047486488907243,0.028226388704485,-0.009071708193493,1.09220961164169E-06
4030,2186,256,177,-1.25,-51.75,nclim,2.15358548164368,1.46300550699234,0.949284100532532,131.093812561035,4.07861471176147,0.00832000002265,0.347233903408051,10.8076510429382,0.608394795656204,0.559921908378601,9.63933362960815,2.35460212230682,26.528667640686,2.20210809707642,0.330768898129463,0.354012900590897,0.315217900276184,1.32004362633048,0.19165798139847,0.075702740916977,0.111359093495948,-0.027721577494291,3.3807788356599E-06
3607,1763,245,191,5.75,-57.25,nclim,2.55960018634796,1.56343507766724,1.00843731164932,131.834622192383,4.29814682006836,0.007797999773175,0.370300701260567,11.3878468513489,0.608365595340729,0.635074800252914,10.1444079399109,2.28363571166992,26.2322154998779,2.26250216960907,0.322601795196533,0.357288697361946,0.320109403133392,1.19198850790943,-0.058020236875018,-0.132819901475628,-0.019373155372009,-0.018101643215232,1.21822228493773E-06
3632,1788,246,173,-3.25,-56.75,nclim,2.18858890533447,1.44301707744598,0.920762896537781,149.336833190918,4.30889778137207,0.006413999944925,0.33687059879303,10.2813904762268,0.60833620429039,0.653022998571396,9.0200291633606,2.39768166542053,25.6228046417236,2.37865843772888,0.315804100036621,0.357974702119827,0.32622150182724,0.878546602654556,-0.215453256252457,-0.238134954420105,-0.045521270405089,0.136566283722117,-3.09833256167957E-06
3763,1919,249,179,-0.25,-55.25,nclim,2.15060238838196,1.48471111059189,0.953058290481567,150.87166595459,4.57438073158264,0.006448999978602,0.34190100133419,10.8306407928467,0.607849597930908,0.615179306268692,9.60761461257935,2.36063408851624,26.1915506362915,2.29618813991547,0.321029299497604,0.358076196908951,0.320894804596901,1.10616538498904,-0.114152054119436,-0.101112902042901,0.009120371101955,0.053952953392004,-3.05636595160363E-06
4274,2430,268,183,1.75,-45.75,nclim,2.07640459537506,1.50525109767914,0.925484001636505,146.137077331543,4.59975266456604,0.006651000119746,0.326848298311234,10.3809837341309,0.607683408260346,0.57825700044632,9.19504356384277,2.38088672161102,26.3551496505737,2.26646299362183,0.331455099582672,0.349713698029518,0.318831098079681,1.20646756476541,0.256753880899069,0.099007747633203,0.09421423829732,-0.047357967482091,1.28291061801677E-06
3466,1622,242,186,3.25,-58.75,nclim,2.56195831298828,1.57559529542923,1.011815315485,144.866510009766,4.39122004508972,0.006808000151068,0.3642314016819,11.4437449455261,0.60762340426445,0.625377506017685,10.210742855072,2.28707134723663,26.2101299285889,2.25206999778748,0.321170702576637,0.359353297948837,0.319476300477982,1.19409445041471,-0.113237801829331,-0.163195010177096,-0.018356454281437,0.013783608471463,-3.0899343761992E-06
3962,2118,254,181,0.75,-52.75,nclim,2.2124843120575,1.48397128582001,0.949554288387299,140.268229675293,4.23858070373535,0.007364999968559,0.346478700637817,10.8755803108215,0.607453101873398,0.592141896486282,9.67598209381103,2.34930965900421,26.334771156311,2.24628617763519,0.323923292756081,0.358151504397392,0.317925095558167,1.2087370569184,-0.034305397517872,-0.056403736653729,0.045263014703925,0.035959174878154,1.29936488407756E-06
4036,2192,256,183,1.75,-51.75,nclim,2.32743575572968,1.5028571844101,0.950647205114365,137.632885742188,4.01564111709595,0.007822000421584,0.351581200957298,10.8429738998413,0.607372111082077,0.579721307754517,9.65587768554687,2.33436107635498,26.4514579772949,2.22091989517212,0.328387603163719,0.354932102560997,0.316680294275284,1.28244979603491,0.117679965178875,0.017649132811598,0.073030332714267,-0.02617091742973,1.57501160558127E-07
4126,2282,259,179,-0.25,-50.25,nclim,2.21462554931641,1.48824360370636,0.946329897642136,147.329122924805,4.0370391368866,0.007080900110304,0.347954502701759,10.7804284095764,0.607255101203918,0.555606001615524,9.61756381988525,2.34565598964691,26.5754180908203,2.19151751995087,0.332319295406342,0.352927300333977,0.314753100275993,1.34993937521305,0.243627537862038,0.099437823896222,0.119523304478725,-0.052520460923787,3.41047899665714E-06
