nx,ny,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
233,174,-2.75,-63.25,plsnclim,nclim,2.15623090267181,26.3236770629883,2.07275079488754,0.328700098395348,0.360611101984978,0.310688894987106
233,175,-2.25,-63.25,plsnclim,nclim,2.16890351772308,26.2276937484741,2.13544549942017,0.324896797537804,0.361099800467491,0.314003196358681
233,176,-1.75,-63.25,plsnclim,nclim,2.21303479671478,26.0781158447266,2.21339149475098,0.320880600810051,0.360946798324585,0.318173098564148
233,177,-1.25,-63.25,plsnclim,nclim,2.31965210437775,25.9559141159058,2.29608602523804,0.321098098158836,0.35655680000782,0.322345197200775
233,178,-0.75,-63.25,plsnclim,nclim,2.28986945152283,26.0302560806274,2.27394139766693,0.321875596046448,0.356689301133156,0.321435096859932
233,179,-0.25,-63.25,plsnclim,nclim,2.21047310829163,26.2917810440063,2.1894880771637,0.326935696601868,0.356970900297165,0.316093298792839
233,180,0.25,-63.25,plsnclim,nclim,2.19239051342011,26.3218437194824,2.15301737785339,0.330544099211693,0.355586299300194,0.313869699835777
233,181,0.75,-63.25,plsnclim,nclim,2.18452744483948,26.3483905792236,2.12335314750671,0.332971003651619,0.35453459918499,0.312494704127312
233,182,1.25,-63.25,plsnclim,nclim,2.17375102043152,26.3734956741333,2.09607049226761,0.334502300620079,0.354504600167274,0.310993295907974
233,183,1.75,-63.25,plsnclim,nclim,2.17024390697479,26.3485042572021,2.07814218997955,0.335595497488976,0.354275301098824,0.310129499435425
233,184,2.25,-63.25,plsnclim,nclim,2.16580927371979,26.3467586517334,2.06705865859985,0.336245501041412,0.354098397493362,0.309655600786209
233,185,2.75,-63.25,plsnclim,nclim,2.16332516670227,26.3581457138062,2.07064570188522,0.335782501101494,0.354298996925354,0.309918597340584
233,186,3.25,-63.25,plsnclim,nclim,2.16332130432129,26.360071182251,2.08369708061218,0.334755101799965,0.354573601484299,0.310671705007553
233,187,3.75,-63.25,plsnclim,nclim,2.16480541229248,26.3638673782349,2.09965249300003,0.332902300357819,0.355549901723862,0.311548402905464
233,188,4.25,-63.25,plsnclim,nclim,2.16860506534576,26.3755741119385,2.11057331562042,0.332199203968048,0.355675595998764,0.312125197052956
233,189,4.75,-63.25,plsnclim,nclim,2.16728181838989,26.3746862411499,2.10438731908798,0.33181240260601,0.356297799944878,0.311889493465424
233,190,5.25,-63.25,plsnclim,nclim,2.16690032482147,26.3779987335205,2.10461381673813,0.331635701656342,0.356398901343346,0.311965501308441
233,191,5.75,-63.25,plsnclim,nclim,2.17135980129242,26.3609786987305,2.1193123459816,0.331001204252243,0.356297904253006,0.312700602412224
233,192,6.25,-63.25,plsnclim,nclim,2.2013934135437,26.304518699646,2.17441031932831,0.330421605706215,0.354268497228622,0.315310302376747
233,193,6.75,-63.25,plsnclim,nclim,2.26430790424347,26.3226913452148,2.22106430530548,0.328206902742386,0.354159998893738,0.317633301019669
233,194,7.25,-63.25,plsnclim,nclim,2.30926957130432,26.3436941146851,2.24429471492767,0.326615709066391,0.355200296640396,0.318184399604797
233,195,7.75,-63.25,plsnclim,nclim,2.32344541549683,26.341296005249,2.25236082077026,0.325670498609543,0.356035399436951,0.318294095993042
233,196,8.25,-63.25,plsnclim,nclim,2.34228677749634,26.3331541061401,2.25314378738403,0.324772498011589,0.356959998607635,0.318267098069191
233,197,8.75,-63.25,plsnclim,nclim,2.34941763877869,26.3374370574951,2.25080642700195,0.324495097994804,0.357421699166298,0.318083602190018
233,198,9.25,-63.25,plsnclim,nclim,2.36735692024231,26.332546043396,2.26854622364044,0.324042204022408,0.35709380209446,0.318863898515701
233,199,9.75,-63.25,plsnclim,nclim,2.38511233329773,26.348095703125,2.2992457151413,0.324366298317909,0.355514401197433,0.320119401812553
233,200,10.25,-63.25,plsnclim,nclim,2.3910484790802,26.3064170837402,2.31518001556397,0.323493203520775,0.355598101019859,0.32090890109539
233,201,10.75,-63.25,plsnclim,nclim,2.40829517841339,26.238934135437,2.34406712055206,0.32169029712677,0.355871698260307,0.322437599301338
233,202,11.25,-63.25,plsnclim,nclim,2.45804362297058,26.0571866989136,2.41841700077057,0.31949599981308,0.354511302709579,0.325992700457573
233,203,11.75,-63.25,plsnclim,nclim,2.5242573261261,25.9286937713623,2.50285539627075,0.319153502583504,0.35089710354805,0.329949602484703
233,204,12.25,-63.25,plsnclim,nclim,2.55738000869751,25.9437967300415,2.54962632656097,0.319235599040985,0.348678800463676,0.33208569586277
233,205,12.75,-63.25,plsnclim,nclim,2.52305631637573,26.0529502868652,2.53031029701233,0.321023100614548,0.348034101724625,0.330943301320076
233,206,13.25,-63.25,plsnclim,nclim,2.50936498641968,25.9928335189819,2.51628692150116,0.320554700493813,0.348954901099205,0.330490005016327
