"","values_baccini","value12","Value_3000"
"633",8.922787,18.197964,11.909785
"634",11.510296,15.293847,10.647517
"635",11.968566,17.679508,10.866668
"636",11.534689,18.052618,11.454209
"637",10.870609,17.542332,12.870365
"638",10.690234,17.509821,13.084199
"639",11.255813,20.542311,12.957526
"640",11.358853,17.673336,12.740769
"641",10.965995,19.529512,12.53241
"642",11.890948,17.149055,12.089579
"643",12.730344,16.411392,10.332289
"644",12.87638,15.885221,10.215465
"645",13.93331,16.318823,10.440677
"646",15.305636,16.768723,10.751862
"647",14.427267,16.966835,11.066341
"648",13.592315,16.50215,11.078636
"649",13.82412,17.840347,11.004776
"650",14.823849,15.410816,10.703794
"651",12.241982,16.224096,10.034593
"652",4.118952,13.876806,9.934493
"653",2.693961,15.500893,9.636873
"654",4.051699,14.010367,10.224818
"655",1.96662,14.909718,10.751215
"656",7.569808,15.287568,11.69151
"657",12.485673,18.843327,13.965295
"658",10.597983,17.618158,13.522601
"659",12.098529,17.253466,13.34967
"660",12.410438,16.953142,13.157227
"661",11.665037,16.452454,12.917742
"662",10.325027,16.014366,12.722851
"663",11.346819,16.088903,12.812469
"664",11.201387,16.428907,12.981874
"665",11.779957,16.760263,13.100487
"666",10.939575,17.068451,13.24167
"667",10.666674,17.112335,13.265295
"668",12.036962,16.981272,13.233456
"669",12.000751,17.044672,13.28457
"670",12.114266,19.106657,13.407464
"671",11.913259,17.344166,13.414481
"672",12.354739,17.331448,13.41176
"673",11.75454,17.377655,13.453794
"674",10.614233,17.420216,13.581465
"675",10.020142,17.474319,13.519114
"676",10.081957,17.310453,13.402349
"677",9.766933,17.334057,13.376098
"678",10.384008,17.276674,13.274137
"679",9.610399,17.223576,13.030533
"680",9.487107,17.149071,12.986294
"681",9.246614,17.022932,13.010839
"682",9.254633,19.111038,12.969632
"683",7.565507,19.151487,12.831419
"684",6.982324,17.21456,12.448961
"685",8.311174,17.120434,12.355139
"686",8.846982,16.753851,12.629304
"687",9.378346,19.250532,12.679062
"688",8.857366,19.248035,12.617337
"689",9.125599,19.45285,12.693292
"690",10.117212,17.417763,12.88758
"691",11.537715,19.361675,12.40549
"692",12.167809,17.388229,12.596757
"693",11.431608,17.519793,12.912702
"694",11.264071,17.216286,12.789222
"695",10.814624,17.253479,12.738976
"696",11.533694,20.210314,12.793136
"697",11.192183,17.510029,12.719855
"698",10.479425,17.509708,12.630256
"699",11.531074,17.557894,12.560287
"700",12.586901,16.984537,11.301159
"701",12.393458,16.541195,10.203232
"702",13.955633,16.948576,10.740458
"703",14.441116,18.601818,10.977175
"704",12.986189,16.737221,11.134089
"705",13.876718,16.346014,11.075668
"706",12.849769,15.710444,10.858345
"707",12.274352,15.408297,10.646588
"708",8.796898,14.752081,10.41712
"709",4.603699,14.431553,10.35245
"710",5.573802,16.793022,10.60513
"711",7.990919,15.255223,10.994236
"712",3.407324,17.306873,10.719332
"713",1.337533,14.873219,10.481764
"714",0.950337,17.342157,10.248082
"715",0.199278,17.292809,10.186817
"716",2.648808,13.482377,6.411235
"717",10.541625,26.124348,13.849194
"718",12.549045,21.370634,14.010208
"719",13.311882,17.614607,13.518972
"720",12.741315,17.093624,13.272659
"721",11.606619,16.665922,13.032919
"722",11.718796,16.043644,12.728562
"723",12.154421,15.870573,12.688746
"724",12.081144,15.951595,12.760613
"725",12.253514,16.216164,12.855643
"726",10.954138,18.203306,13.046227
"727",11.337511,16.825361,13.196445
"728",10.374425,16.915598,13.159857
"729",11.20894,17.018593,13.406141
"730",12.005003,17.125227,13.368521
"731",11.76195,17.383888,13.488913
"732",11.090506,17.437136,13.586647
"733",11.653383,17.419127,13.576694
"734",11.106339,17.493986,13.526732
"735",10.73459,19.464024,13.549469
"736",10.402452,19.51523,13.646437
"737",9.118023,17.455542,13.552355
"738",9.966923,19.464481,13.409819
"739",11.150764,19.361147,13.295558
"740",11.11586,17.262058,13.056625
"741",9.714852,17.109446,12.987234
"742",9.702755,18.985895,12.982868
"743",10.04853,16.863657,13.035496
"744",10.217637,16.786951,12.777211
"745",9.397275,16.675486,12.496234
"746",7.067127,18.937378,12.567207
"747",6.713918,19.015549,12.751724
"748",9.120846,16.63743,12.586758
"749",8.652899,16.604244,12.4655
"750",9.746335,16.836653,12.604034
"751",10.40499,19.768885,12.893265
"752",10.29744,17.367229,12.914115
"753",10.125537,19.661747,12.632164
"754",10.462185,18.997099,12.155763
"755",10.661997,16.381233,11.90841
"756",10.385141,16.853853,12.267635
"757",10.824898,17.129766,12.4829
"758",10.820771,17.233229,12.571752
"759",10.646099,17.219767,12.404897
"760",10.931185,18.313021,11.89532
"761",12.444044,16.240061,10.430683
"762",12.918817,16.153114,9.903214
"763",12.920561,16.521479,10.302008
"764",14.560361,16.52821,10.727606
"765",14.045716,16.344269,10.815245
"766",12.207707,15.558235,10.392269
"767",9.970731,16.820841,10.283437
"768",10.342205,15.566764,10.899141
"769",8.017285,15.353101,10.939252
"770",7.782877,15.294621,10.858028
"771",6.680552,16.914803,12.512278
"772",10.788495,16.856804,12.39401
"773",12.104242,17.800381,11.180792
"774",2.366118,14.513972,10.303133
"775",2.032281,16.883436,10.126046
