ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
171,215,-4.25,-72.25,pftnclim,nclim,2.436938,25.241072,2.521796,0.336475,0.283274,0.375593
171,216,-4.25,-71.75,pftnclim,nclim,2.43674,25.25762,2.521622,0.336476,0.283472,0.375445
171,217,-4.25,-71.25,pftnclim,nclim,2.43656,25.305565,2.521553,0.336458,0.284042,0.375043
171,218,-4.25,-70.75,pftnclim,nclim,2.451255,24.890911,2.547198,0.337033,0.277601,0.38113
171,219,-4.25,-70.25,pftnclim,nclim,2.45314,24.875156,2.550331,0.337086,0.277236,0.38157
171,220,-4.25,-69.75,pftnclim,nclim,2.455346,24.840202,2.553855,0.337142,0.276629,0.382203
171,221,-4.25,-69.25,pftnclim,nclim,2.455432,24.849918,2.553975,0.337138,0.27674,0.382131
171,222,-4.25,-68.75,pftnclim,nclim,2.45533,24.851599,2.553882,0.337141,0.27676,0.382113
171,223,-4.25,-68.25,pftnclim,nclim,2.45523,24.852867,2.553782,0.337144,0.276777,0.382096
171,224,-4.25,-67.75,pftnclim,nclim,2.455141,24.847979,2.55369,0.337148,0.27672,0.382132
171,225,-4.25,-67.25,pftnclim,nclim,2.455279,24.850754,2.553856,0.337144,0.276748,0.382121
171,226,-4.25,-66.75,pftnclim,nclim,2.453058,24.850597,2.55021,0.337095,0.276948,0.381768
171,227,-4.25,-66.25,pftnclim,nclim,2.436572,25.30472,2.521609,0.336454,0.284031,0.375055
171,228,-4.25,-65.75,pftnclim,nclim,2.43933,25.282291,2.524397,0.336387,0.28372,0.375407
171,229,-4.25,-65.25,pftnclim,nclim,2.440331,25.2083,2.525256,0.336391,0.28283,0.376073
171,230,-4.25,-64.75,pftnclim,nclim,2.43973,25.264956,2.524694,0.336383,0.283514,0.375564
171,231,-4.25,-64.25,pftnclim,nclim,2.436438,25.335424,2.520726,0.336438,0.284454,0.374685
171,232,-4.25,-63.75,pftnclim,nclim,2.436373,25.34326,2.520672,0.336437,0.284548,0.374617
171,233,-4.25,-63.25,pftnclim,nclim,2.43647,25.33784,2.520751,0.336435,0.284484,0.374665
171,234,-4.25,-62.75,pftnclim,nclim,2.436043,25.337376,2.520309,0.336446,0.284486,0.374642
171,235,-4.25,-62.25,pftnclim,nclim,2.436056,25.323236,2.520279,0.336447,0.284323,0.374756
171,236,-4.25,-61.75,pftnclim,nclim,2.440645,25.264952,2.525824,0.336356,0.283487,0.375644
171,237,-4.25,-61.25,pftnclim,nclim,2.459364,24.67736,2.558188,0.337108,0.274597,0.383859
171,238,-4.25,-60.75,pftnclim,nclim,2.458009,24.693209,2.555745,0.337037,0.274946,0.383468
171,239,-4.25,-60.25,pftnclim,nclim,2.452565,25.056862,2.539637,0.336148,0.280674,0.378356
171,240,-4.25,-59.75,pftnclim,nclim,2.472367,24.496994,2.573756,0.337017,0.271949,0.386541
171,241,-4.25,-59.25,pftnclim,nclim,2.45077,25.089483,2.537373,0.336197,0.281113,0.377918
171,242,-4.25,-58.75,pftnclim,nclim,2.447344,25.116879,2.533645,0.336267,0.281521,0.377445
171,243,-4.25,-58.25,pftnclim,nclim,2.462267,24.617664,2.562709,0.337164,0.273659,0.384784
171,244,-4.25,-57.75,pftnclim,nclim,2.436412,25.335535,2.521228,0.336439,0.284421,0.374753
171,245,-4.25,-57.25,pftnclim,nclim,2.437739,25.315557,2.522892,0.336407,0.284142,0.375042
171,246,-4.25,-56.75,pftnclim,nclim,2.437841,25.312973,2.522954,0.336406,0.284112,0.375065
171,247,-4.25,-56.25,pftnclim,nclim,2.455086,24.807407,2.552549,0.337047,0.276388,0.382288
171,248,-4.25,-55.75,pftnclim,nclim,2.458205,24.773506,2.556855,0.33709,0.275781,0.382951
171,249,-4.25,-55.25,pftnclim,nclim,2.458422,24.76875,2.557156,0.337087,0.275714,0.383015
171,250,-4.25,-54.75,pftnclim,nclim,2.457837,24.76363,2.556534,0.337101,0.275668,0.383019
171,251,-4.25,-54.25,pftnclim,nclim,2.455614,24.801933,2.553144,0.337041,0.276306,0.382376
171,252,-4.25,-53.75,pftnclim,nclim,2.457267,24.753435,2.556031,0.337114,0.275554,0.383079
171,253,-4.25,-53.25,pftnclim,nclim,2.456508,24.757303,2.5553,0.337131,0.275612,0.383006
171,254,-4.25,-52.75,pftnclim,nclim,2.453918,24.792957,2.551243,0.337083,0.276243,0.382324
171,255,-4.25,-52.25,pftnclim,nclim,2.436457,25.3084,2.521223,0.336456,0.284094,0.374981
171,256,-4.25,-51.75,pftnclim,nclim,2.454454,24.810759,2.551806,0.337067,0.276442,0.38221
172,211,-3.75,-74.25,pftnclim,nclim,2.440948,24.885437,2.523833,0.336405,0.27917,0.378537
172,212,-3.75,-73.75,pftnclim,nclim,2.43612,25.33236,2.520489,0.336451,0.284415,0.374705
172,213,-3.75,-73.25,pftnclim,nclim,2.43583,25.324097,2.520524,0.336462,0.284299,0.374801
172,214,-3.75,-72.75,pftnclim,nclim,2.436927,25.286,2.521823,0.336458,0.283808,0.375217
172,215,-3.75,-72.25,pftnclim,nclim,2.436754,25.267958,2.521639,0.336471,0.283595,0.375359
172,216,-3.75,-71.75,pftnclim,nclim,2.436512,25.275322,2.521387,0.336474,0.283687,0.375281
172,217,-3.75,-71.25,pftnclim,nclim,2.435878,25.32342,2.5208,0.336464,0.284273,0.374841
172,218,-3.75,-70.75,pftnclim,nclim,2.452876,24.85601,2.550003,0.337096,0.277019,0.381707
172,219,-3.75,-70.25,pftnclim,nclim,2.452972,24.88117,2.550139,0.337089,0.277311,0.381507
172,220,-3.75,-69.75,pftnclim,nclim,2.455309,24.84084,2.553806,0.337142,0.276638,0.382194
172,221,-3.75,-69.25,pftnclim,nclim,2.455399,24.848495,2.553931,0.337139,0.276724,0.38214
172,222,-3.75,-68.75,pftnclim,nclim,2.455331,24.851503,2.553875,0.33714,0.27676,0.382112
172,223,-3.75,-68.25,pftnclim,nclim,2.458695,24.798733,2.558625,0.337184,0.275911,0.382975
172,224,-3.75,-67.75,pftnclim,nclim,2.458553,24.796082,2.558478,0.337188,0.275882,0.382989
172,225,-3.75,-67.25,pftnclim,nclim,2.455102,24.849857,2.553645,0.337147,0.276744,0.382113
172,226,-3.75,-66.75,pftnclim,nclim,2.455105,24.832619,2.553588,0.337149,0.276545,0.382249
172,227,-3.75,-66.25,pftnclim,nclim,2.453313,24.85888,2.550411,0.337085,0.277046,0.381705
172,228,-3.75,-65.75,pftnclim,nclim,2.43627,25.347412,2.520662,0.336444,0.284588,0.37459
172,229,-3.75,-65.25,pftnclim,nclim,2.436252,25.33866,2.520607,0.336444,0.284489,0.374657
172,230,-3.75,-64.75,pftnclim,nclim,2.436105,25.336983,2.520435,0.336448,0.284474,0.374659
172,231,-3.75,-64.25,pftnclim,nclim,2.436753,25.318785,2.520998,0.336432,0.284256,0.374837
172,232,-3.75,-63.75,pftnclim,nclim,2.435483,25.353912,2.519804,0.33646,0.284685,0.374479
