ny,nx,lat,lon,approach,clima,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
167,240,-6.25,-59.75,pftnclim,nclim,3072695800,5.485569,3.623653,1.861916,71.887856,4.894942,0.330405,17.186913,1.465902,1.656483,14.064528,2.434534,25.352123,2.518752,0.33648,0.284689,0.374424
167,241,-6.25,-59.25,pftnclim,nclim,3072695800,5.376305,3.545444,1.830861,70.9567,4.746658,0.331051,17.012106,1.442978,1.63038,13.938748,2.4348,25.356707,2.519086,0.336474,0.284733,0.37441
167,242,-6.25,-58.75,pftnclim,nclim,3072695800,5.21046,3.445719,1.764741,74.046425,4.60059,0.328317,16.494349,1.391465,1.571739,13.531144,2.434779,25.361994,2.519119,0.336476,0.284791,0.374373
167,243,-6.25,-58.25,pftnclim,nclim,3072695800,5.129094,3.398491,1.730602,78.652016,4.562618,0.326709,16.225065,1.366712,1.543654,13.3147,2.434747,25.362299,2.519119,0.336478,0.284791,0.374373
167,244,-6.25,-57.75,pftnclim,nclim,3072695800,5.012043,3.344405,1.667638,85.84106,4.719874,0.321643,15.620217,1.321723,1.504911,12.793583,2.438808,25.29665,2.524225,0.336372,0.283891,0.375295
167,245,-6.25,-57.25,pftnclim,nclim,3072695800,3.025129,2.510452,1.217498,86.842285,4.975914,0.249856,12.970467,0.991933,1.15717,10.821363,2.455683,25.221333,2.543988,0.335993,0.282511,0.377306
168,220,-5.75,-69.75,pftnclim,nclim,3075515400,3.637093,2.703047,1.358513,91.02313,4.184046,0.297453,12.85025,1.123152,1.273828,10.453271,2.437179,25.265001,2.522285,0.336471,0.283532,0.375441
168,221,-5.75,-69.25,pftnclim,nclim,3075515400,3.654021,2.671016,1.318552,95.167206,4.068676,0.297218,12.440301,1.087151,1.256926,10.096224,2.451885,24.836277,2.547957,0.337044,0.276926,0.381648
168,222,-5.75,-68.75,pftnclim,nclim,3075515400,3.656967,2.649544,1.302513,97.63337,4.051998,0.296525,12.299331,1.069018,1.238851,9.991462,2.453509,24.791964,2.550797,0.337109,0.276231,0.382309
168,223,-5.75,-68.25,pftnclim,nclim,3075515400,3.482033,2.596738,1.25261,100.49749,4.080177,0.288279,11.698082,1.043491,1.203662,9.450929,2.449882,24.857235,2.54477,0.337001,0.277345,0.381167
168,224,-5.75,-67.75,pftnclim,nclim,3075515400,3.469066,2.60788,1.26511,95.45817,4.140398,0.286,11.922869,1.053458,1.1942,9.67521,2.436404,25.250456,2.521525,0.336499,0.283368,0.375522
168,225,-5.75,-67.25,pftnclim,nclim,3075515400,3.662709,2.703936,1.334827,94.57596,4.287119,0.291236,12.60174,1.113053,1.287122,10.201565,2.451962,24.818443,2.548042,0.33705,0.276711,0.381805
168,226,-5.75,-66.75,pftnclim,nclim,3075515400,4.04401,2.913654,1.59098,86.60197,4.619534,0.312754,15.108786,1.318848,1.498885,12.291052,2.439509,25.256817,2.524638,0.336411,0.283397,0.375648
168,227,-5.75,-66.25,pftnclim,nclim,3075515400,4.577792,3.114482,1.901136,73.128654,4.748485,0.34004,17.053877,1.567982,1.788983,13.696911,2.44149,25.186905,2.526435,0.336368,0.282556,0.376324
168,228,-5.75,-65.75,pftnclim,nclim,3075515400,4.594132,3.257402,1.884726,70.07806,5.06544,0.324952,16.874641,1.560948,1.77919,13.534504,2.440562,25.183975,2.525452,0.336394,0.282539,0.376288
168,229,-5.75,-65.25,pftnclim,nclim,3075515400,5.083402,3.431004,2.072961,60.09019,5.04913,0.344579,18.357857,1.686966,1.924467,14.746423,2.441515,25.199923,2.526238,0.336352,0.282733,0.376182
168,230,-5.75,-64.75,pftnclim,nclim,3075515400,5.270758,3.554051,1.970721,67.099655,5.075304,0.334788,18.136784,1.578594,1.794653,14.763537,2.439337,25.283,2.524126,0.33638,0.283751,0.375363
168,231,-5.75,-64.25,pftnclim,nclim,3075515400,5.002515,3.426577,1.817472,75.57842,4.993103,0.324435,16.947567,1.455281,1.652749,13.839539,2.43856,25.300385,2.523443,0.336398,0.283962,0.375185
168,232,-5.75,-63.75,pftnclim,nclim,3075515400,5.076236,3.369445,1.875467,77.4229,4.833704,0.335597,17.491148,1.500627,1.706147,14.284374,2.439557,25.296135,2.524486,0.336372,0.283893,0.375284
168,233,-5.75,-63.25,pftnclim,nclim,3075515400,5.15334,3.422876,1.845125,86.40923,5.094855,0.330037,17.36333,1.474707,1.675344,14.21328,2.438977,25.310352,2.523948,0.336382,0.284069,0.375136
168,234,-5.75,-62.75,pftnclim,nclim,3075515400,5.269535,3.497782,1.977133,83.00085,5.196412,0.338414,18.283907,1.586187,1.80486,14.89286,2.44008,25.28005,2.524988,0.33636,0.283697,0.375446
168,235,-5.75,-62.25,pftnclim,nclim,3075515400,5.248357,3.580338,2.038563,77.65427,5.386214,0.336471,18.69365,1.645508,1.873539,15.174603,2.440576,25.258884,2.525441,0.336357,0.283439,0.375649
168,236,-5.75,-61.75,pftnclim,nclim,3075515400,6.35872,3.937808,2.420911,65.51601,5.390474,0.375218,20.549152,1.917586,2.185332,16.446236,2.439744,25.209259,2.524016,0.336367,0.28292,0.375931
168,237,-5.75,-61.25,pftnclim,nclim,3075515400,6.371624,3.974214,2.39741,64.39247,5.261156,0.370286,20.541056,1.896169,2.157069,16.48782,2.438715,25.233198,2.522864,0.336391,0.283226,0.375654
168,238,-5.75,-60.75,pftnclim,nclim,3075515400,6.185227,3.972918,2.212309,67.33556,5.345446,0.351029,19.658043,1.744505,1.978359,15.935178,2.436876,25.291573,2.521101,0.336429,0.283938,0.375068
168,239,-5.75,-60.25,pftnclim,nclim,3075515400,6.112846,3.92932,2.183527,64.17416,5.233475,0.349917,19.4896,1.719542,1.948806,15.821251,2.436505,25.302324,2.520688,0.336437,0.284074,0.374951
168,240,-5.75,-59.75,pftnclim,nclim,3075515400,5.779806,3.794387,1.985418,67.373055,5.146219,0.335479,18.107443,1.561828,1.766093,14.779523,2.434889,25.338528,2.519049,0.336471,0.284528,0.37455
168,241,-5.75,-59.25,pftnclim,nclim,3075515400,5.570904,3.679738,1.891165,69.174706,4.976822,0.330881,17.377605,1.487957,1.681244,14.208406,2.434385,25.349678,2.51855,0.336484,0.284667,0.374428
168,242,-5.75,-58.75,pftnclim,nclim,3075515400,5.355135,3.530319,1.824817,70.62832,4.715727,0.331289,16.993423,1.437424,1.623869,13.93213,2.434676,25.361076,2.518935,0.336476,0.284789,0.374363
168,243,-5.75,-58.25,pftnclim,nclim,3075515400,5.194155,3.430378,1.763779,73.70472,4.568867,0.329433,16.550419,1.392794,1.573122,13.584502,2.434727,25.364628,2.51906,0.336477,0.284823,0.374346
168,244,-5.75,-57.75,pftnclim,nclim,3075515400,5.144958,3.428456,1.716502,79.465965,4.684027,0.323699,15.97328,1.357357,1.534696,13.081226,2.434971,25.344301,2.519463,0.336476,0.284568,0.374553
168,245,-5.75,-57.25,pftnclim,nclim,3075515400,3.462807,2.640113,1.276373,82.42133,4.826253,0.25451,13.437347,1.059412,1.239379,11.138557,2.455051,25.152487,2.544217,0.335983,0.281678,0.377949
168,246,-5.75,-56.75,pftnclim,nclim,3075515400,3.070932,2.583559,1.258399,84.75974,5.050576,0.234469,13.400891,1.052467,1.218065,11.130361,2.452565,25.238613,2.539847,0.336088,0.282821,0.376849
168,247,-5.75,-56.25,pftnclim,nclim,3075515400,2.227709,2.243666,1.068855,86.91336,5.32631,0.210478,12.284065,0.887139,1.040732,10.356194,2.462241,25.24671,2.55071,0.335838,0.28268,0.377502
168,248,-5.75,-55.75,pftnclim,nclim,3075515400,5.228835,3.518741,1.723791,87.37506,5.423155,0.309267,15.962847,1.366287,1.578602,13.017958,2.445816,25.18256,2.532898,0.336178,0.282346,0.37687
168,249,-5.75,-55.25,pftnclim,nclim,3075515400,5.057837,3.449547,1.667717,87.963615,5.427612,0.3006,15.352139,1.328248,1.561836,12.462053,2.456999,24.789898,2.55339,0.336792,0.276361,0.382334
168,250,-5.75,-54.75,pftnclim,nclim,3075515400,4.859012,3.419123,1.703637,86.44916,5.362284,0.302409,16.004072,1.334003,1.530184,13.139885,2.443596,25.27531,2.52949,0.336264,0.283523,0.375819
168,251,-5.75,-54.25,pftnclim,nclim,3075515400,4.78734,3.430202,1.713861,87.444374,5.306055,0.302006,15.956511,1.327525,1.517685,13.1113,2.441676,25.309177,2.526984,0.336308,0.283992,0.375346
168,252,-5.75,-53.75,pftnclim,nclim,3075515400,4.429822,3.304216,1.653011,88.32181,5.248008,0.298368,15.062691,1.260867,1.441978,12.359845,2.441452,25.31098,2.526576,0.336313,0.284029,0.375293
169,217,-5.25,-71.25,pftnclim,nclim,3078101000,4.031598,3.00349,1.501874,92.77408,4.675522,0.299498,13.937495,1.242642,1.409517,11.285336,2.436821,25.245985,2.52178,0.33648,0.283325,0.375559
