lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-5.25,-54.25,nclim_pft,nclim,pft,2.40769,28.09576,2.40769,0.32961548,0.3277839,0.33625313
-5.25,-53.75,nclim_pft,nclim,pft,2.405903,28.092594,2.405903,0.3297049,0.32774693,0.33619022
-5.25,-53.25,nclim_pft,nclim,pft,2.405073,28.104675,2.405073,0.32974632,0.32788788,0.33604805
-4.75,-72.25,nclim_pft,nclim,pft,2.401734,27.959408,2.401734,0.3299133,0.3261931,0.3370916
-4.75,-71.75,nclim_pft,nclim,pft,2.40163,27.968044,2.40163,0.32991856,0.32629387,0.33701447
-4.75,-71.25,nclim_pft,nclim,pft,2.401381,28.01935,2.401381,0.329931,0.32689243,0.3365745
-4.75,-70.75,nclim_pft,nclim,pft,2.401336,28.06931,2.401336,0.3299332,0.32747528,0.3361559
-4.75,-70.25,nclim_pft,nclim,pft,2.399854,28.105854,2.399854,0.3300073,0.3279016,0.3357773
-4.75,-69.75,nclim_pft,nclim,pft,2.399245,28.137386,2.399245,0.33003777,0.3282695,0.33548405
-4.75,-69.25,nclim_pft,nclim,pft,2.398944,28.141537,2.398944,0.33005276,0.3283179,0.33543438
-4.75,-68.75,nclim_pft,nclim,pft,2.398353,28.130249,2.398353,0.33008236,0.32818626,0.33549892
-4.75,-68.25,nclim_pft,nclim,pft,2.397883,28.129572,2.397883,0.33010586,0.32817833,0.33548103
-4.75,-67.75,nclim_pft,nclim,pft,2.398033,28.135166,2.398033,0.3300983,0.3282436,0.33544193
-4.75,-67.25,nclim_pft,nclim,pft,2.400524,28.144115,2.400524,0.32997383,0.328348,0.33549194
-4.75,-66.75,nclim_pft,nclim,pft,2.403376,28.054274,2.403376,0.32983124,0.3272999,0.33638317
-4.75,-66.25,nclim_pft,nclim,pft,2.401555,27.983595,2.401555,0.3299223,0.3264753,0.3368811
-4.75,-65.75,nclim_pft,nclim,pft,2.403782,27.9426,2.403782,0.3298109,0.32599697,0.33733414
-4.75,-65.25,nclim_pft,nclim,pft,2.404407,27.920532,2.404407,0.32977962,0.32573956,0.3375492
-4.75,-64.75,nclim_pft,nclim,pft,2.405231,27.950367,2.405231,0.32973843,0.3260876,0.33734184
-4.75,-64.25,nclim_pft,nclim,pft,2.401491,28.06659,2.401491,0.32992546,0.32744354,0.33618626
-4.75,-63.75,nclim_pft,nclim,pft,2.400363,28.10382,2.400363,0.3299818,0.3278779,0.33581966
-4.75,-63.25,nclim_pft,nclim,pft,2.399938,28.100302,2.399938,0.3300031,0.32783684,0.33582775
-4.75,-62.75,nclim_pft,nclim,pft,2.400347,28.083477,2.400347,0.32998264,0.32764057,0.33598835
-4.75,-62.25,nclim_pft,nclim,pft,2.400571,28.06041,2.400571,0.32997147,0.32737144,0.33619183
-4.75,-61.75,nclim_pft,nclim,pft,2.402247,28.021935,2.402247,0.3298876,0.32692257,0.33659622
-4.75,-61.25,nclim_pft,nclim,pft,2.409262,27.970497,2.409262,0.3295369,0.32632248,0.33737568
-4.75,-60.75,nclim_pft,nclim,pft,2.417041,27.896107,2.417041,0.329148,0.32545456,0.33838448
-4.75,-60.25,nclim_pft,nclim,pft,2.418165,27.922895,2.418165,0.32909172,0.32576714,0.33821743
-4.75,-59.75,nclim_pft,nclim,pft,2.400333,28.050907,2.400333,0.32998337,0.3272606,0.33625904
-4.75,-59.25,nclim_pft,nclim,pft,2.399428,28.07153,2.399428,0.33002857,0.3275012,0.336042
-4.75,-58.75,nclim_pft,nclim,pft,2.398833,28.08068,2.398833,0.33005836,0.3276079,0.33593594
-4.75,-58.25,nclim_pft,nclim,pft,2.398855,28.093178,2.398855,0.33005726,0.32775375,0.33583294
-4.75,-57.75,nclim_pft,nclim,pft,2.399321,28.093285,2.399321,0.33003395,0.32775497,0.33585537
-4.75,-57.25,nclim_pft,nclim,pft,2.401175,28.07922,2.401175,0.32994133,0.32759087,0.3360653
-4.75,-56.75,nclim_pft,nclim,pft,2.402135,28.066097,2.402135,0.32989326,0.3274378,0.33622265
-4.75,-56.25,nclim_pft,nclim,pft,2.40499,28.052685,2.40499,0.3297505,0.32728134,0.3364771
-4.75,-55.75,nclim_pft,nclim,pft,2.409359,28.079039,2.409359,0.3295321,0.3275888,0.336476
-4.75,-55.25,nclim_pft,nclim,pft,2.407173,28.058823,2.407173,0.32964138,0.32735294,0.33653515
-4.75,-54.75,nclim_pft,nclim,pft,2.406054,28.091316,2.406054,0.32969734,0.327732,0.33620842
-4.75,-54.25,nclim_pft,nclim,pft,2.406807,28.06,2.406807,0.32965965,0.32736668,0.33650707
-4.75,-53.75,nclim_pft,nclim,pft,2.405833,28.07931,2.405833,0.32970837,0.32759193,0.33629738
-4.75,-53.25,nclim_pft,nclim,pft,2.404907,28.074627,2.404907,0.32975468,0.3275373,0.33629013
-4.75,-52.75,nclim_pft,nclim,pft,2.404005,28.064884,2.404005,0.32979977,0.32742363,0.33632618
-4.75,-52.25,nclim_pft,nclim,pft,2.403886,28.05875,2.403886,0.3298057,0.32735207,0.33637142
-4.25,-73.25,nclim_pft,nclim,pft,2.400281,28.051945,2.400281,0.32998592,0.32727272,0.33624783
-4.25,-72.75,nclim_pft,nclim,pft,2.401772,28.004272,2.401772,0.3299114,0.3267165,0.3367197
-4.25,-72.25,nclim_pft,nclim,pft,2.401666,27.973335,2.401666,0.32991665,0.3263556,0.33697216
-4.25,-71.75,nclim_pft,nclim,pft,2.401409,27.991638,2.401409,0.32992958,0.3265691,0.33680683
-4.25,-71.25,nclim_pft,nclim,pft,2.401396,28.04628,2.401396,0.3299302,0.3272066,0.33635075
-4.25,-70.75,nclim_pft,nclim,pft,2.399589,28.100986,2.399589,0.33002052,0.32784485,0.33580456
-4.25,-70.25,nclim_pft,nclim,pft,2.399024,28.133678,2.399024,0.33004875,0.32822624,0.3355038
-4.25,-69.75,nclim_pft,nclim,pft,2.398698,28.148636,2.398698,0.3300651,0.32840073,0.33536297
-4.25,-69.25,nclim_pft,nclim,pft,2.398678,28.154324,2.398678,0.33006607,0.3284671,0.33531456
-4.25,-68.75,nclim_pft,nclim,pft,2.398391,28.15292,2.398391,0.33008045,0.32845074,0.33531185
-4.25,-68.25,nclim_pft,nclim,pft,2.398163,28.152163,2.398163,0.3300919,0.32844193,0.3353068
-4.25,-67.75,nclim_pft,nclim,pft,2.398008,28.144218,2.398008,0.33009964,0.32834923,0.3353653
-4.25,-67.25,nclim_pft,nclim,pft,2.398314,28.142563,2.398314,0.3300843,0.32832993,0.33539436
-4.25,-66.75,nclim_pft,nclim,pft,2.399068,28.105705,2.399068,0.3300466,0.3278999,0.33573917
-4.25,-66.25,nclim_pft,nclim,pft,2.40155,28.045921,2.40155,0.3299225,0.3272024,0.3363615
-4.25,-65.75,nclim_pft,nclim,pft,2.405075,28.032915,2.405075,0.32974625,0.32705067,0.33664616
