"","X","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"2689",846,227,174,-2.75,-66.25,"nclim",2.90805201530457,1.69981719255447,1.20823469161987,104.327774810791,3.80574560165405,0.011002000421286,0.416905599832535,13.7594946861267,0.758546406030655,0.66071799993515,12.3402293205261,2.1878160238266,26.3494400024414,2.04494091272354,0.334557801485062,0.357118698954582,0.308323499560356,1.58848585419645,0.343935759626628,-0.0816853619273773,0.0888981815431251,-0.0794741862636758,1.25570217224258e-07
"2690",847,227,175,-2.25,-66.25,"nclim",2.9107944726944,1.69770400524139,1.21309069395065,102.498014831543,3.80497028827667,0.011242000386119,0.418366399407387,13.7652757644653,0.762070697546005,0.662396502494812,12.3408075332642,2.1783732175827,26.3874042510986,2.04324707984924,0.336627700924873,0.355035695433617,0.308336395025253,1.60932707118989,0.419344992247901,-0.0474277253588716,0.093710323900414,-0.116699204985938,2.34080589267549e-06
"2691",848,227,176,-1.75,-66.25,"nclim",2.90926070213318,1.68326712846756,1.22599380016327,104.538170623779,3.76980919837952,0.010982000268996,0.422963899374008,14.0055846214294,0.760434496402741,0.664933794736862,12.5802164077759,2.17261819839478,26.3745855331421,2.03258929252625,0.333244797587395,0.358700001239777,0.308054602146149,1.60382791036348,0.289177038054551,-0.113342349832294,0.0804011069657433,-0.0749336935383931,6.49169530286819e-06
"2692",849,227,177,-1.25,-66.25,"nclim",2.90462548732758,1.63885811567307,1.26576738357544,102.916542053223,3.72684819698334,0.011009000241756,0.437449699640274,14.5043683052063,0.778311800956726,0.684143799543381,13.0419130325317,2.16022729873657,26.4018102645874,2.02377878427505,0.331969702243805,0.360051003098488,0.307979395985603,1.6135463113363,0.236250356775019,-0.14047480781342,0.0723640460656208,-0.0718114047142235,-9.67694550824127e-07
"2693",850,227,178,-0.75,-66.25,"nclim",2.91140420436859,1.65962450504303,1.25177981853485,105.165428161621,3.79810457229614,0.010494999587536,0.431725299358368,14.3241215705872,0.769338494539261,0.683009988069534,12.871782207489,2.15804243087769,26.4034627914429,2.0383088350296,0.332388100028038,0.35895200073719,0.308660098910332,1.60077418704192,0.255267081117813,-0.127833628727379,0.063711298746051,-0.0882016996174594,-2.01877189465183e-06
"2694",851,227,179,-0.25,-66.25,"nclim",2.88181149959564,1.67048299312592,1.21132850646973,107.356197357178,3.785817694664,0.010579999536276,0.422303500771523,13.8283215522766,0.744236201047897,0.680163496732712,12.4039216041565,2.16324889659882,26.3956462860107,2.0798379778862,0.332226002216339,0.357281395792961,0.310492599010468,1.55084350245145,0.257654069255428,-0.108827219624131,0.0408225243103074,-0.106687222293144,1.30838345935302e-07
"2695",852,227,180,0.25,-66.25,"nclim",2.87454781532288,1.67295119762421,1.20159667730331,107.904598999023,3.80891609191895,0.010538999922574,0.419963002204895,13.7113525390625,0.73782519698143,0.680825293064117,12.2927065849304,2.16444811820984,26.3949243545532,2.09218040704727,0.332084003090858,0.356895902752876,0.311020401120186,1.53618420394448,0.254448842847905,-0.10458747421324,0.0332562376644693,-0.111209803793046,-3.16923933318947e-06
"2696",853,227,181,0.75,-66.25,"nclim",2.8780604839325,1.67399668693542,1.20406359434128,108.860681152344,3.81592273712158,0.010410999879241,0.420256397128105,13.7374184608459,0.739526104927063,0.680790203809738,12.3170998573303,2.16429679393768,26.3901704788208,2.08902940750122,0.332154700160027,0.356909701228142,0.310935398936272,1.53872499394631,0.257502617150678,-0.106021391330576,0.0355880711779152,-0.110587088074217,2.22197473626062e-06
"2697",854,227,182,1.25,-66.25,"nclim",2.90794188976288,1.68353642225265,1.22440551519394,110.082230377197,3.82912378311157,0.010254999622703,0.42278059720993,13.9406715393066,0.755413293838501,0.674354296922684,12.5109018325806,2.16032180786133,26.3849658966064,2.05290882587433,0.334059795737267,0.356829798221588,0.309110203385353,1.59218354332445,0.324494524579696,-0.0962196628383176,0.0627295129952442,-0.110177672924451,2.26204571707189e-06
"2698",855,227,183,1.75,-66.25,"nclim",2.91862733364105,1.68892999887466,1.22969750165939,111.321781921387,3.84981048107147,0.010092999786139,0.423028001189232,13.9720158576965,0.758734214305878,0.67495950460434,12.5383225440979,2.15857598781586,26.3525320053101,2.04809809923172,0.334348195791245,0.35675639808178,0.308895605802536,1.59608373446074,0.33944920852873,-0.10160705024102,0.0647478521026076,-0.107990496525677,-2.01862016657728e-06
