ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
170,244,-4.75,-57.75,pftlowprec,lowprec,2.714148,23.804108,2.84093,0.327751,0.26029,0.40873
170,245,-4.75,-57.25,pftlowprec,lowprec,3,26.195139,3,0.319024,0.292927,0.388049
170,246,-4.75,-56.75,pftlowprec,lowprec,3,20,3,0.35,0.2,0.45
170,252,-4.75,-53.75,pftlowprec,lowprec,3,20,3,0.35,0.2,0.45
170,253,-4.75,-53.25,pftlowprec,lowprec,2.479616,25.16867,2.572691,0.335297,0.281244,0.379745
170,254,-4.75,-52.75,pftlowprec,lowprec,2.455931,25.014538,2.551433,0.336815,0.279062,0.380279
170,255,-4.75,-52.25,pftlowprec,lowprec,2.456776,24.960339,2.553308,0.336895,0.278279,0.380952
171,213,-4.25,-73.25,pftlowprec,lowprec,2.457472,24.733328,2.556114,0.337127,0.275312,0.383248
171,214,-4.25,-72.75,pftlowprec,lowprec,2.458395,24.79455,2.555611,0.336902,0.276241,0.382534
171,215,-4.25,-72.25,pftlowprec,lowprec,2.470265,25.016054,2.561682,0.335638,0.279659,0.380285
171,216,-4.25,-71.75,pftlowprec,lowprec,2.456497,25.059563,2.546869,0.336195,0.280324,0.379051
171,217,-4.25,-71.25,pftlowprec,lowprec,2.45884,24.752102,2.557872,0.337099,0.275478,0.383226
171,218,-4.25,-70.75,pftlowprec,lowprec,2.455809,24.85332,2.553493,0.337046,0.276886,0.381983
171,219,-4.25,-70.25,pftlowprec,lowprec,2.451435,25.01244,2.545806,0.336848,0.27924,0.379858
171,220,-4.25,-69.75,pftlowprec,lowprec,2.450122,25.064222,2.543489,0.336786,0.279997,0.379184
171,221,-4.25,-69.25,pftlowprec,lowprec,2.449437,25.106161,2.541933,0.336716,0.280613,0.378649
171,222,-4.25,-68.75,pftlowprec,lowprec,2.450179,25.070837,2.543619,0.336784,0.280068,0.379142
171,223,-4.25,-68.25,pftlowprec,lowprec,2.453217,24.940598,2.549814,0.336986,0.278103,0.380918
171,224,-4.25,-67.75,pftlowprec,lowprec,2.451918,24.979937,2.547424,0.336923,0.27872,0.380337
171,225,-4.25,-67.25,pftlowprec,lowprec,2.449799,25.070776,2.543163,0.336797,0.280077,0.379111
171,226,-4.25,-66.75,pftlowprec,lowprec,2.452923,24.951443,2.548319,0.336914,0.278367,0.380624
171,227,-4.25,-66.25,pftlowprec,lowprec,2.461236,24.701124,2.561362,0.337165,0.274687,0.383978
171,228,-4.25,-65.75,pftlowprec,lowprec,2.455722,24.88388,2.55124,0.336869,0.277508,0.381374
171,229,-4.25,-65.25,pftlowprec,lowprec,2.459046,24.6946,2.556686,0.337023,0.274944,0.383508
171,230,-4.25,-64.75,pftlowprec,lowprec,2.455823,24.933355,2.549648,0.336689,0.278314,0.380683
171,231,-4.25,-64.25,pftlowprec,lowprec,2.453726,25.064384,2.544623,0.336389,0.280308,0.378961
171,232,-4.25,-63.75,pftlowprec,lowprec,2.463205,24.68593,2.563646,0.337115,0.274456,0.384262
