ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
169,217,-5.25,-71.25,0,3078101000.0,1.94115,1.812111,0.940014,90.2111,4.699209,0.244619,11.729989,0.781606,0.825008,10.123373,2.449886,27.893806,2.449886,32.75057,32.542774,34.004593
169,218,-5.25,-70.75,0,3078101000.0,3.06994,2.466855,1.339905,84.35351,4.388728,0.287646,15.065206,1.117174,1.134598,12.813433,2.412144,27.979416,2.412144,32.93928,32.64265,33.74454
169,219,-5.25,-70.25,0,3078101000.0,3.388644,2.575438,1.411582,84.042015,4.220991,0.301024,15.704353,1.155059,1.166244,13.38305,2.40724,28.037848,2.40724,32.9638,32.710823,33.671326
169,220,-5.25,-69.75,0,3078101000.0,3.285396,2.516122,1.383624,86.71433,4.079345,0.300146,15.422662,1.12898,1.139514,13.154168,2.407228,28.048943,2.407228,32.963856,32.723766,33.662025
169,221,-5.25,-69.25,0,3078101000.0,3.326201,2.501289,1.369661,89.37634,3.984535,0.302855,15.367739,1.110472,1.119413,13.137854,2.406525,28.077156,2.406525,32.967373,32.756683,33.634995
169,222,-5.25,-68.75,0,3078101000.0,3.285664,2.472348,1.336657,91.0759,3.934782,0.30095,14.968478,1.084613,1.093015,12.790851,2.405962,28.072872,2.405962,32.970184,32.751686,33.635746
169,223,-5.25,-68.25,0,3078101000.0,2.961,2.361316,1.257357,88.815956,3.940601,0.289355,14.031058,1.038541,1.048814,11.943703,2.407015,28.020851,2.407015,32.964924,32.690994,33.68436
169,224,-5.25,-67.75,1,3078101000.0,2.788131,2.29103,1.222893,82.20997,3.950246,0.2817,13.676998,1.022761,1.034854,11.619383,2.408106,27.986544,2.408106,32.959473,32.650967,33.718407
169,225,-5.25,-67.25,1,3078101000.0,2.995325,2.371933,1.369661,77.73265,4.12209,0.29474,15.595587,1.145912,1.160521,13.289154,2.410463,28.016495,2.410463,32.94768,32.68591,33.70523
169,226,-5.25,-66.75,1,3078101000.0,3.27026,2.535762,1.546258,79.32482,4.463709,0.304431,17.12441,1.290982,1.309863,14.523565,2.411195,27.972681,2.411195,32.94403,32.634796,33.74541
169,227,-5.25,-66.25,1,3078101000.0,3.11326,2.580694,1.461697,89.84565,4.94163,0.282049,16.063087,1.22093,1.241918,13.600239,2.412373,27.934046,2.412373,32.938133,32.58972,33.783497
169,228,-5.25,-65.75,1,3078101000.0,2.882283,2.523785,1.400815,82.450424,5.236242,0.263235,15.44599,1.164422,1.191948,13.089619,2.419061,27.912659,2.419061,32.9047,32.564766,33.83476
169,229,-5.25,-65.25,1,3078101000.0,3.146359,2.600197,1.593165,64.44822,5.138727,0.278553,17.403715,1.32493,1.358178,14.720608,2.420655,27.900536,2.420655,32.89673,32.550625,33.852833
169,230,-5.25,-64.75,1,3078101000.0,3.445732,2.781687,1.630318,68.05366,5.007916,0.28755,17.955193,1.3605,1.385165,15.209528,2.414788,27.950035,2.414788,32.92606,32.608376,33.782238
169,231,-5.25,-64.25,1,3078101000.0,3.598285,2.813066,1.64065,71.05257,4.869332,0.295227,18.254543,1.352509,1.373463,15.528571,2.413679,28.006153,2.413679,32.931602,32.673847,33.729935
169,232,-5.25,-63.75,1,3078101000.0,3.872779,2.899291,1.690445,77.23133,4.848267,0.307659,18.824205,1.368283,1.384831,16.07109,2.410978,28.058802,2.410978,32.94511,32.735268,33.67255
169,233,-5.25,-63.25,1,3078101000.0,4.408543,3.142688,1.816521,85.25877,5.031213,0.325967,19.69721,1.437962,1.450702,16.808544,2.406728,28.07218,2.406728,32.966362,32.750877,33.64016
169,234,-5.25,-62.75,1,3078101000.0,4.406532,3.187933,1.864705,90.67261,5.393163,0.321056,20.202219,1.491953,1.507963,17.202305,2.408318,28.04372,2.408318,32.958412,32.717674,33.671825
169,235,-5.25,-62.25,1,3078101000.0,3.857162,2.907475,1.841374,78.50267,5.432861,0.305542,20.219694,1.533385,1.568966,17.117342,2.420307,27.928825,2.420307,32.898464,32.58363,33.82751
169,236,-5.25,-61.75,0,3078101000.0,1.697115,1.868074,0.979839,64.25436,5.576294,0.198958,12.721434,0.893632,1.07524,10.752563,2.88585,26.575512,2.88585,30.570751,31.004763,37.282997
169,240,-5.25,-59.75,1,3078101000.0,2.447979,2.292942,1.350293,59.14307,5.327191,0.244807,16.5037,1.083818,1.115685,14.304196,2.431321,28.124249,2.431321,32.8434,32.811623,33.71973
169,241,-5.25,-59.25,1,3078101000.0,4.841599,3.192828,1.779122,64.27644,5.172758,0.328439,19.18249,1.393043,1.431234,16.358212,2.422889,27.946278,2.422889,32.885555,32.60399,33.825882
169,242,-5.25,-58.75,1,3078101000.0,2.177146,2.107285,1.142724,68.0093,4.878486,0.233054,14.42281,0.91818,0.945014,12.559615,2.43166,28.156876,2.43166,32.841698,32.849686,33.69424
169,243,-5.25,-58.25,1,3078101000.0,1.416779,1.735193,0.764185,64.38873,4.773171,0.180847,10.792691,0.687134,0.819151,9.286406,2.907389,27.221678,2.907389,30.463053,31.758625,36.852215
169,253,-5.25,-53.25,1,3078101000.0,0.857615,1.100431,0.474077,72.31906,5.176926,0.155796,9.630446,0.423497,0.494079,8.71287,3.0,30.0,3.0,30.0,35.0,35.0
170,215,-4.75,-72.25,0,3080451800.0,2.087881,1.963051,1.010621,93.53903,5.180017,0.242261,12.43519,0.838658,0.894196,10.702337,2.458651,27.819788,2.458651,32.70674,32.45642,34.1101
170,216,-4.75,-71.75,0,3080451800.0,2.010365,1.885258,0.98131,90.28833,4.864351,0.242373,12.109204,0.812355,0.857481,10.439368,2.449805,27.885977,2.449805,32.750973,32.533638,34.010708
170,217,-4.75,-71.25,0,3080451800.0,2.86529,2.405378,1.303089,84.834206,4.545079,0.276141,14.799269,1.084794,1.109723,12.604752,2.41875,27.945261,2.41875,32.90625,32.602806,33.80603
170,218,-4.75,-70.75,0,3080451800.0,3.497779,2.638098,1.448383,82.5008,4.274113,0.30315,16.108267,1.183805,1.195526,13.728937,2.407499,28.038652,2.407499,32.962505,32.71176,33.67196
170,219,-4.75,-70.25,0,3080451800.0,3.596287,2.636803,1.449083,82.49451,4.11421,0.309065,16.141048,1.170535,1.179726,13.790789,2.405983,28.073614,2.405983,32.97009,32.752552,33.635242
170,220,-4.75,-69.75,1,3080451800.0,3.619266,2.607419,1.438208,80.92234,3.980859,0.312015,16.165869,1.154438,1.162703,13.848726,2.406119,28.103085,2.406119,32.969402,32.786934,33.61136
170,221,-4.75,-69.25,1,3080451800.0,3.548148,2.553528,1.402629,81.93205,3.867493,0.310963,15.798038,1.125378,1.133201,13.53946,2.406012,28.10742,2.406012,32.969936,32.791992,33.60721
170,222,-4.75,-68.75,1,3080451800.0,3.475068,2.51467,1.36457,83.16434,3.809088,0.307981,15.301111,1.097574,1.105054,13.098484,2.40541,28.095623,2.40541,32.972946,32.77823,33.614033
170,223,-4.75,-68.25,1,3080451800.0,3.338786,2.464621,1.322999,81.519905,3.783613,0.301782,14.942245,1.072432,1.080366,12.789446,2.406054,28.088682,2.406054,32.969727,32.77013,33.62303
170,224,-4.75,-67.75,1,3080451800.0,3.40442,2.474491,1.337008,77.89915,3.765062,0.303209,15.187799,1.085143,1.093103,13.009553,2.40618,28.095062,2.40618,32.9691,32.777573,33.61835
