ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
168,220,-5.75,-69.75,0,3075515400.0,3.74575,2.691182,1.483554,87.67496,4.212119,0.314926,15.61426,1.186224,1.19475,13.233286,2.401932,28.001755,2.401932,32.99034,32.668716,33.674866
168,221,-5.75,-69.25,0,3075515400.0,3.78562,2.66467,1.464702,90.99664,4.102358,0.318103,15.537247,1.161795,1.169116,13.206335,2.401824,28.033237,2.401824,32.99088,32.705444,33.64809
168,222,-5.75,-68.75,0,3075515400.0,3.789421,2.650987,1.445532,93.270226,4.086627,0.316934,15.359197,1.14593,1.152868,13.060399,2.401626,28.0371,2.401626,32.991867,32.70995,33.64388
168,223,-5.75,-68.25,0,3075515400.0,3.603716,2.588332,1.39021,96.14911,4.11411,0.308724,14.676748,1.113042,1.120337,12.44337,2.401211,28.004263,2.401211,32.993942,32.67164,33.669167
168,224,-5.75,-67.75,1,3075515400.0,3.570822,2.598091,1.382302,91.925224,4.168193,0.303436,14.507916,1.113035,1.120787,12.274095,2.400932,27.98098,2.400932,32.995342,32.644478,33.687172
168,225,-5.75,-67.25,1,3075515400.0,3.792678,2.695813,1.481216,90.44256,4.320299,0.311702,15.732284,1.187983,1.1964,13.347902,2.402115,28.009758,2.402115,32.989426,32.67805,33.66911
168,226,-5.75,-66.75,1,3075515400.0,4.158303,2.892733,1.733039,83.48957,4.648347,0.330105,18.311642,1.388629,1.401722,15.521292,2.404857,28.001097,2.404857,32.975716,32.667946,33.690033
168,227,-5.75,-66.25,1,3075515400.0,4.699163,3.07947,2.06245,70.62899,4.775496,0.357442,20.950655,1.643857,1.666164,17.640633,2.407621,27.936623,2.407621,32.961895,32.592728,33.757584
168,228,-5.75,-65.75,1,3075515400.0,4.719942,3.224927,2.047013,67.66193,5.092272,0.341635,20.760008,1.638605,1.659502,17.4619,2.406395,27.928455,2.406395,32.96802,32.5832,33.758266
168,229,-5.75,-65.25,1,3075515400.0,5.219056,3.396705,2.251089,58.064144,5.072723,0.362636,22.643837,1.770166,1.793721,19.07995,2.407658,27.953339,2.407658,32.961708,32.61223,33.74384
168,230,-5.75,-64.75,1,3075515400.0,5.394872,3.536196,2.149975,64.752556,5.101543,0.353508,22.179173,1.664688,1.67984,18.834644,2.404919,28.036121,2.404919,32.975403,32.70881,33.661156
168,231,-5.75,-64.25,1,3075515400.0,5.119979,3.412805,1.98474,72.8881,5.021608,0.342795,20.661,1.536842,1.54891,17.575247,2.403964,28.052155,2.403964,32.980183,32.727512,33.643024
168,232,-5.75,-63.75,1,3075515400.0,5.188404,3.350806,2.045235,74.69191,4.862882,0.354257,21.304834,1.582452,1.596545,18.12584,2.405297,28.051966,2.405297,32.973515,32.727295,33.649845
168,233,-5.75,-63.25,1,3075515400.0,5.268925,3.407567,2.014067,83.34026,5.127227,0.348602,21.10761,1.556933,1.569403,17.981276,2.404606,28.064945,2.404606,32.976963,32.742435,33.635574
168,234,-5.75,-62.75,1,3075515400.0,5.377876,3.475268,2.154124,80.11156,5.228732,0.357081,22.31244,1.670922,1.687472,18.954046,2.406016,28.035774,2.406016,32.96992,32.708405,33.66693
168,235,-5.75,-62.25,1,3075515400.0,5.391125,3.553661,2.219091,74.98275,5.417454,0.354917,22.85756,1.731354,1.750104,19.376102,2.406518,28.013714,2.406518,32.96741,32.682667,33.687828
168,236,-5.75,-61.75,0,3075515400.0,6.553411,3.915449,2.63796,63.355923,5.417702,0.397082,25.69962,2.018411,2.042777,21.638433,2.405632,27.962395,2.405632,32.971836,32.622795,33.726166
168,237,-5.75,-61.25,0,3075515400.0,6.58074,3.961959,2.618782,62.244473,5.288312,0.392202,25.654894,1.999933,2.020624,21.634336,2.404059,27.982979,2.404059,32.979702,32.646805,33.701145
168,238,-5.75,-60.75,0,3075515400.0,6.401116,3.975734,2.425382,65.00317,5.373314,0.372564,24.342255,1.846849,1.859645,20.635761,2.401551,28.037086,2.401551,32.992245,32.709934,33.643517
168,239,-5.75,-60.25,0,3075515400.0,6.331607,3.935696,2.395912,61.941116,5.259733,0.37144,24.113972,1.821626,1.833077,20.459269,2.401001,28.046963,2.401001,32.995,32.72146,33.632534
168,240,-5.75,-59.75,1,3075515400.0,5.993355,3.809979,2.183376,64.97251,5.172301,0.35662,22.298166,1.658597,1.665252,18.974318,2.399004,28.07714,2.399004,33.00498,32.756664,33.5974
168,241,-5.75,-59.25,1,3075515400.0,5.77954,3.698102,2.081437,66.68723,5.002744,0.35192,21.364748,1.58159,1.586677,18.19648,2.398333,28.086811,2.398333,33.00833,32.767944,33.585987
168,242,-5.75,-58.75,1,3075515400.0,5.557194,3.548305,2.008889,68.07132,4.741168,0.352431,20.815325,1.528149,1.532621,17.754553,2.39859,28.10057,2.39859,33.007053,32.784,33.57581
168,243,-5.75,-58.25,1,3075515400.0,5.39126,3.448861,1.942399,71.02034,4.594573,0.350588,20.232723,1.481064,1.485039,17.266623,2.398555,28.104744,2.398555,33.00723,32.788868,33.57216
168,244,-5.75,-57.75,1,3075515400.0,5.3316,3.443154,1.888446,76.565956,4.711448,0.34471,19.558641,1.442014,1.447104,16.669521,2.398975,28.085436,2.398975,33.005127,32.766342,33.590343
168,245,-5.75,-57.25,1,3075515400.0,3.349264,2.513231,1.333811,79.54479,4.8543,0.258872,15.470507,1.072941,1.110781,13.286785,2.431814,27.956478,2.431814,32.84093,32.61589,33.862007
168,246,-5.75,-56.75,1,3075515400.0,3.037462,2.494339,1.336278,81.76647,5.080905,0.243493,15.529517,1.077065,1.104348,13.348104,2.423876,28.040222,2.423876,32.880615,32.713593,33.75253
168,247,-5.75,-56.25,1,3075515400.0,2.171259,2.115175,1.109281,83.918175,5.358047,0.217698,13.819867,0.886902,0.920624,12.012341,2.438905,28.099909,2.438905,32.805473,32.783226,33.77793
168,248,-5.75,-55.75,1,3075515400.0,5.268289,3.441334,1.848081,84.31108,5.456106,0.325029,19.250088,1.414119,1.446848,16.389122,2.417266,27.958649,2.417266,32.91367,32.618423,33.787457
168,249,-5.75,-55.25,1,3075515400.0,5.051085,3.349111,1.793223,84.46563,5.465312,0.315844,18.862696,1.376611,1.411812,16.074272,2.420572,27.959253,2.420572,32.89714,32.61913,33.803486
168,250,-5.75,-54.75,1,3075515400.0,4.927087,3.368245,1.841586,83.38737,5.395225,0.319474,19.330112,1.390722,1.412302,16.527088,2.411662,28.056843,2.411662,32.94169,32.732983,33.67761
168,251,-5.75,-54.25,1,3075515400.0,4.88946,3.397827,1.86237,84.33089,5.339069,0.319472,19.376644,1.389591,1.406778,16.580276,2.408432,28.086182,2.408432,32.957844,32.767212,33.637005
168,252,-5.75,-53.75,1,3075515400.0,4.540465,3.274244,1.797018,85.17124,5.28097,0.315352,18.399944,1.319635,1.335754,15.744555,2.407978,28.092592,2.407978,32.960114,32.774693,33.629395
169,217,-5.25,-71.25,0,3078101000.0,4.152606,2.991894,1.640555,89.397644,4.706759,0.316739,17.030037,1.312499,1.322481,14.39506,2.40154,27.978958,2.40154,32.992294,32.642117,33.691902
169,218,-5.25,-70.75,0,3078101000.0,4.267258,2.940659,1.617293,84.178764,4.390274,0.325818,17.028234,1.273958,1.281435,14.472842,2.401229,28.038792,2.401229,32.99385,32.71192,33.640488
169,219,-5.25,-70.25,0,3078101000.0,4.40954,2.899633,1.599645,83.95838,4.221714,0.330358,16.996187,1.250719,1.257611,14.487856,2.401678,28.066666,2.401678,32.99161,32.744442,33.6195
169,220,-5.25,-69.75,0,3078101000.0,4.351893,2.834557,1.568542,86.635315,4.080007,0.333008,16.691164,1.223775,1.230594,14.236795,2.401912,28.071533,2.401912,32.99044,32.750122,33.61661
169,221,-5.25,-69.25,0,3078101000.0,4.422506,2.850634,1.571872,89.284485,3.985279,0.340917,16.753736,1.21349,1.218313,14.321934,2.400734,28.102211,2.400734,32.99633,32.78591,33.58516
169,222,-5.25,-68.75,0,3078101000.0,4.358566,2.821564,1.537002,90.970146,3.935609,0.338702,16.343872,1.186338,1.190192,13.967343,2.399726,28.102026,2.399726,33.001373,32.785698,33.580276
169,223,-5.25,-68.25,0,3078101000.0,4.166399,2.72958,1.464592,88.714195,3.941392,0.327566,15.455968,1.145888,1.151714,13.158365,2.400507,28.051954,2.400507,32.99747,32.72728,33.62591
169,224,-5.25,-67.75,1,3078101000.0,3.957105,2.680949,1.443769,82.094536,3.951138,0.319708,15.216096,1.143266,1.149601,12.923229,2.400363,28.026249,2.400363,32.998184,32.697292,33.646606
169,225,-5.25,-67.25,1,3078101000.0,4.199862,2.774162,1.616156,77.62959,4.12292,0.336001,17.30623,1.279843,1.288461,14.737926,2.402863,28.050846,2.402863,32.98568,32.725986,33.638607
169,226,-5.25,-66.75,1,3078101000.0,4.350206,2.910665,1.788501,79.236595,4.464515,0.342716,18.810156,1.424083,1.437312,15.948762,2.404603,28.005825,2.404603,32.976986,32.673462,33.684826
169,227,-5.25,-66.25,1,3078101000.0,4.174394,3.001937,1.716736,89.71053,4.94292,0.319368,17.903975,1.381781,1.39461,15.127584,2.403638,27.971203,2.403638,32.98181,32.633068,33.708855
169,228,-5.25,-65.75,1,3078101000.0,4.259901,3.144322,1.774343,82.23141,5.238452,0.313744,18.224857,1.430545,1.444977,15.349335,2.40361,27.940819,2.40361,32.981953,32.597622,33.73403
169,229,-5.25,-65.25,1,3078101000.0,4.640256,3.254483,2.025517,64.299034,5.140371,0.335405,20.578318,1.620577,1.640621,17.317118,2.406181,27.934813,2.406181,32.969093,32.590614,33.751892
169,230,-5.25,-64.75,1,3078101000.0,4.885135,3.358032,1.991933,67.932465,5.009226,0.338928,20.493462,1.563651,1.57837,17.35144,2.404412,28.002117,2.404412,32.97794,32.669136,33.686954
169,231,-5.25,-64.25,1,3078101000.0,5.136842,3.366218,1.985788,70.933014,4.870583,0.345751,20.657864,1.540235,1.552655,17.564976,2.40405,28.046959,2.40405,32.979755,32.72145,33.64779
169,232,-5.25,-63.75,1,3078101000.0,5.490064,3.455198,2.034865,77.12051,4.849391,0.362631,21.214163,1.554827,1.564165,18.095171,2.402485,28.086906,2.402485,32.987576,32.768055,33.60667
169,233,-5.25,-63.25,1,3078101000.0,5.632842,3.55985,2.072992,85.16126,5.03221,0.361677,21.480268,1.574437,1.581072,18.32476,2.400402,28.09905,2.400402,32.99799,32.782227,33.586136
169,234,-5.25,-62.75,1,3078101000.0,5.871463,3.692904,2.17856,90.558464,5.394407,0.364918,22.38104,1.659324,1.668323,19.053394,2.401123,28.075638,2.401123,32.994385,32.75491,33.60925
169,235,-5.25,-62.25,1,3078101000.0,6.345585,3.85439,2.491195,78.27016,5.435678,0.386656,24.793694,1.897136,1.91336,20.983196,2.402987,28.019062,2.402987,32.985065,32.688908,33.665714
169,236,-5.25,-61.75,0,3078101000.0,6.551796,3.947863,2.603934,70.976006,5.489958,0.391888,25.572104,1.988167,2.008565,21.57537,2.404077,27.986944,2.404077,32.979614,32.651436,33.697926
169,237,-5.25,-61.25,0,3078101000.0,5.696594,3.661475,2.448567,65.06147,5.486899,0.367052,24.409801,1.925066,1.955816,20.52892,2.41011,27.92642,2.41011,32.94945,32.580826,33.778534
169,238,-5.25,-60.75,0,3078101000.0,4.778063,3.336116,2.18898,61.254135,5.470711,0.337954,22.686337,1.779132,1.813338,19.093868,2.414362,27.907772,2.414362,32.92819,32.559067,33.815334
169,239,-5.25,-60.25,0,3078101000.0,5.702667,3.65301,2.303046,59.581043,5.38217,0.357791,23.53525,1.809528,1.836083,19.88964,2.409788,27.964972,2.409788,32.951057,32.6258,33.744797
169,240,-5.25,-59.75,1,3078101000.0,6.35243,3.948197,2.404232,58.88888,5.330165,0.370888,24.244974,1.827139,1.838053,20.579782,2.400652,28.052246,2.400652,32.996735,32.727623,33.62639
169,241,-5.25,-59.25,1,3078101000.0,5.974826,3.799271,2.175555,63.944637,5.176327,0.356033,22.241127,1.651388,1.657656,18.932083,2.398849,28.08112,2.398849,33.00576,32.761307,33.59331
