ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
167,227,-6.25,-66.25,nclim,1,3072695800,4.297242,3.114392,1.777138,77.301254,4.906137,0.321199,16.341148,1.471883,1.676344,13.192924
167,228,-6.25,-65.75,nclim,1,3072695800,4.582277,3.258475,1.93147,67.51193,4.968166,0.329176,17.127289,1.596956,1.822186,13.708146
167,229,-6.25,-65.25,nclim,1,3072695800,5.059782,3.471395,2.102526,61.057728,5.022557,0.346126,18.547028,1.705532,1.946225,14.89527
167,230,-6.25,-64.75,nclim,1,3072695800,4.901931,3.498936,1.821087,74.360176,5.215226,0.318204,16.775202,1.464126,1.662422,13.648652
167,231,-6.25,-64.25,nclim,1,3072695800,4.849758,3.443609,1.803266,78.53426,5.160371,0.319892,16.749344,1.447378,1.643399,13.658566
167,232,-6.25,-63.75,nclim,1,3072695800,4.468441,3.261082,1.734568,83.676476,5.081921,0.315664,15.966331,1.409428,1.602578,12.954325
167,233,-6.25,-63.25,nclim,1,3072695800,4.281163,3.197776,1.706562,88.23831,5.203133,0.307514,15.442279,1.402915,1.597288,12.442075
167,234,-6.25,-62.75,nclim,0,3072695800,4.568242,3.335706,1.789141,86.19754,5.266108,0.314609,16.19217,1.460259,1.661549,13.070362
167,235,-6.25,-62.25,nclim,0,3072695800,4.933071,3.493998,1.891658,80.56314,5.350271,0.32009,17.382767,1.534878,1.746641,14.101248
167,236,-6.25,-61.75,nclim,0,3072695800,6.009642,3.920933,2.08871,77.303856,5.448467,0.340989,18.788157,1.646197,1.865185,15.276775
167,237,-6.25,-61.25,nclim,0,3072695800,5.992428,3.915254,2.077174,74.207344,5.403139,0.339519,18.70349,1.635765,1.85145,15.216274
167,238,-6.25,-60.75,nclim,1,3072695800,6.011918,3.877018,2.134901,68.01636,5.167506,0.347426,19.191393,1.682225,1.905362,15.603806
167,239,-6.25,-60.25,nclim,1,3072695800,5.694236,3.746394,1.947842,71.77848,5.077418,0.333792,17.818989,1.532923,1.733264,14.552801
167,240,-6.25,-59.75,nclim,1,3072695800,5.485569,3.623653,1.861916,71.887856,4.894942,0.330405,17.186913,1.465902,1.656483,14.064528
167,241,-6.25,-59.25,nclim,1,3072695800,5.376305,3.545444,1.830861,70.9567,4.746658,0.331051,17.012106,1.442978,1.63038,13.938748
