,nx,ny,lat,lon,PLS,gpp,ra,npp,rc,et,wue,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
734,224,212,16.25,-67.75,1000PLS,0.69654169678688,0.770073902606964,0.339752098917961,138.152317810059,3.74161350727081,0.00782479983754456,0.196486197412014,3.69038670063019,0.327441301941872,0.549900299310684,2.81304503679276,3.5189879655838,21.9536930084229,4.08804140090942,0.317573598027229,0.253428801894188,0.428997600078583
735,225,166,-6.75,-67.25,1000PLS,1.83377270698547,1.4317843079567,0.810329699516296,166.167256164551,4.25346446037292,0.00633700005710125,0.302573397755623,9.0058219909668,0.657347106933594,0.595712196826935,7.75276217460632,2.53828160762787,25.3669786453247,2.32484829425812,0.336327096819878,0.344133397936821,0.319539394974709
736,225,167,-6.25,-67.25,1000PLS,2.04365751743317,1.46449310779572,0.874806100130081,156.272366333008,4.07368941307068,0.00682999985292554,0.325950196385384,9.79196329116821,0.672605603933334,0.604372894763947,8.51498260498047,2.46167252063751,25.4732213973999,2.25009381771088,0.334051695466042,0.348943102359772,0.317005199193954
737,225,168,-5.75,-67.25,1000PLS,2.26854610443115,1.49261430501938,0.950446105003357,141.993701171875,3.92239820957184,0.00729800015687943,0.351118898391724,10.7036700248718,0.691740292310715,0.625920504331589,9.38601169586182,2.39797201156616,25.5742832183838,2.20154659748077,0.330583998560905,0.353380501270294,0.316035497188568
738,225,169,-5.25,-67.25,1000PLS,2.5134569644928,1.49642671346664,1.04406719207764,123.610276794434,3.77665340900421,0.00793089969083667,0.388718798756599,11.7860803604126,0.712424391508102,0.663681906461716,10.4099753379822,2.32180199623108,25.6485130310059,2.17281749248505,0.32693490087986,0.357732900977135,0.315332001447678
739,225,170,-4.75,-67.25,1000PLS,2.74769811630249,1.5652174949646,1.18248339891434,114.61432723999,3.55770747661591,0.00897699967026711,0.430155298113823,13.423228263855,0.755543202161789,0.672954499721527,11.9947267532349,2.24966058731079,25.8207334518433,2.07674407958984,0.32684819996357,0.362698602676392,0.310452899336815
740,225,171,-4.25,-67.25,1000PLS,2.75108609199524,1.6314227938652,1.11966321468353,114.663666534424,3.5536835193634,0.0094609996303916,0.406834501028061,12.6301100730896,0.735745292901993,0.638870698213577,11.2554930686951,2.27116527557373,25.8508668899536,2.09238899946213,0.333368000388145,0.356462800502777,0.310169199109077
741,225,172,-3.75,-67.25,1000PLS,2.75791139602661,1.63662548065186,1.12128598690033,108.004815673828,3.41955592632294,0.0112169999629259,0.406905096769333,12.592497253418,0.740672701597214,0.628183001279831,11.223641204834,2.27256243228912,25.8524751663208,2.07366901636124,0.33578730225563,0.355050799250603,0.309161904454231
742,225,173,-3.25,-67.25,1000PLS,2.76307740211487,1.63085041046143,1.1322270154953,101.52473526001,3.39353199005127,0.0121250003576279,0.410302197933197,12.7141523361206,0.743194806575775,0.62577348947525,11.3451820373535,2.26294531822205,25.858543586731,2.05897463560104,0.335941505432129,0.35542000234127,0.308638599514961
743,225,174,-2.75,-67.25,1000PLS,2.76679813861847,1.62574809789658,1.14292110204697,98.4546142578125,3.39651491641998,0.0125463002361357,0.412917202711105,12.9523538589478,0.745619606971741,0.625287294387817,11.5814477920532,2.24349203109741,25.8875909805298,2.05160759687424,0.337822198867798,0.353883999586105,0.308294397592545
744,225,175,-2.25,-67.25,1000PLS,2.80268542766571,1.62508939504623,1.17759588956833,96.8999839782715,3.44703059196472,0.0126010002568364,0.421269398927689,13.2726173400879,0.747584992647171,0.633889710903168,11.8911449432373,2.2237800359726,25.819020652771,2.02619762420654,0.332511499524117,0.35988529920578,0.307602801918983
745,225,176,-1.75,-67.25,1000PLS,2.8277517080307,1.64122819900513,1.18652338981628,98.1989250183105,3.51392414569855,0.012292000465095,0.420957002043724,13.2905566215515,0.754484587907791,0.642198193073273,11.8938698768616,2.21616733074188,25.8269987106323,2.03456119298935,0.334387198090553,0.357686403393745,0.307925999164581
746,225,177,-1.25,-67.25,1000PLS,2.85222179889679,1.65493041276932,1.1972913980484,100.074331665039,3.58471755981445,0.0119209997355938,0.421307301521301,13.4068078994751,0.758049094676971,0.64989829659462,11.9988611221313,2.20949709415436,25.8411323547363,2.03870301246643,0.334208795428276,0.35782870054245,0.307962402701378
747,225,178,-0.75,-67.25,1000PLS,2.83958530426025,1.65917749404907,1.18820548057556,101.084487915039,3.64025850296021,0.0116849000565708,0.41598179936409,13.6747580528259,0.760557192564011,0.656299096345901,12.2579041481018,2.2073933839798,25.8816818237305,2.05850800275803,0.337460300326347,0.353576797246933,0.308962994813919
748,225,179,-0.25,-67.25,1000PLS,2.88181641101837,1.66780759096146,1.21400910615921,102.022757720947,3.697913813591,0.0114489998668432,0.4230603992939,13.6008525848389,0.760817795991898,0.667959100008011,12.1720772743225,2.19969921112061,25.8261959075928,2.05676437616348,0.332509398460388,0.358690702915192,0.308799999952316
749,225,180,0.25,-67.25,1000PLS,2.90379893779755,1.68015999794006,1.22363889217377,103.984143829346,3.76787390708923,0.0110567997209728,0.423120704293251,13.6936938285828,0.766449397802353,0.672016799449921,12.2552277565002,2.19457681179047,25.8172183990479,2.05330129861832,0.333341801166534,0.357920902967453,0.308737301826477
750,225,181,0.75,-67.25,1000PLS,2.91519088745117,1.68236939907074,1.23282151222229,106.005809783936,3.8182332277298,0.0106760002672672,0.424542596936226,13.8323864936829,0.76449299454689,0.675690698623657,12.3922011375427,2.19108850955963,25.771448135376,2.04902622699738,0.330498802661896,0.360746398568153,0.308754804730415
751,225,182,1.25,-67.25,1000PLS,2.92196404933929,1.69091441631317,1.23104981184006,108.041492462158,3.83786969184875,0.0104419998824596,0.423113495111465,13.7413429260254,0.767931896448135,0.678598290681839,12.2948098182678,2.19102520942688,25.7887010574341,2.05764018297195,0.332582399249077,0.358338499069214,0.309079298377037
752,225,183,1.75,-67.25,1000PLS,2.92535700798035,1.69544668197632,1.22991081476212,109.879961395264,3.8535505771637,0.0102239996194839,0.42225349843502,13.7241751670837,0.768198603391647,0.680113101005554,12.2758647918701,2.19243042469025,25.7815380096436,2.06146531105041,0.332791596651077,0.35779399573803,0.309414699673653
